year_of_birth,height,weight,scars,colour,year_of_discovery,number_of_lost_teeth,life_length,BMI
898,43.878702095767686,12.218469470479011,7,red,1723,38,1545.3107968307181,7.589913517049604
-1393,49.998267820395455,13.38583999429392,1,red,1723,25,1126.6765797894889,6.404176277476892
1514,47.433676972001,12.755955712373495,10,red,1723,20,1403.5688328446377,6.780582190602054
1086,54.36002463283153,14.307764963998011,17,green,1723,30,1731.6068023915484,5.790820095293632
938,38.572604300688305,10.335459990019748,12,red,1723,28,1554.3993479273088,8.308056689023264
-656,49.42768863259421,12.559996530987735,5,blue,1723,40,1583.8694499207281,6.148603391476572
-1527,42.581856573331464,10.945634848520932,22,red,1723,35,2179.6305432608124,7.219703053679867
1374,49.159568500445886,12.438496331379797,13,red,1723,27,1536.0185513826889,6.155726605284657
1242,53.98061507395802,14.755490025964834,2,blue,1723,13,831.438804660414,6.056274406772418
1209,46.03007791676831,11.933653789871402,2,red,1723,20,982.2246629479554,6.736240426881915
-701,57.25013582546476,14.453968257988402,1,green,1723,14,929.3322757931662,5.27426102190829
-930,58.51463459642652,16.415532222459944,3,red,1723,24,1231.4828978740527,5.733945205578142
-1529,42.71989337085892,15.305159059359923,24,blue,1723,12,1839.52196204661,10.030096064774838
790,55.378774629579496,17.38433079625188,4,red,1723,36,1343.966084530671,6.779518635472967
964,60.61987839342933,15.332570664775325,0,blue,1723,17,874.5609399416688,4.990136420434377
1501,52.01060282122394,13.518828375870488,24,red,1723,37,2332.5858139894626,5.976994345784239
-1759,51.06555311013112,15.332253903965414,6,green,1723,33,1497.1307473568827,7.031977739896947
-1467,49.9511029027749,14.036149424797939,4,red,1724,25,1249.9265817107555,6.727990734412488
-1479,67.78501772362277,19.33187440959992,5,red,1724,15,1114.8906602563688,5.031924339650965
704,50.416616487333464,14.334976113088674,2,red,1724,21,1014.6830453959917,6.744925329384443
-1314,50.54184892504601,13.656203144410751,12,red,1724,21,1461.4619935817302,6.39374458515019
-1664,46.02232375123798,11.836377909260985,4,red,1724,0,755.1807863279956,6.683582320932675
-1190,52.20532726273315,14.504556541620559,1,green,1724,25,1105.425190684868,6.3650581460790905
-1095,50.20380004709722,13.18882148254231,0,blue,1724,8,742.7426641525061,6.25835756853739
-1716,42.72241489647328,14.16964659274599,0,red,1724,5,721.602342625492,9.284852248845615
254,52.554450865527315,15.177787368024891,22,red,1724,18,1855.3795644615552,6.57229463295209
-356,54.15794092489383,13.772179047758632,5,green,1725,19,1197.1432530191128,5.6157263529797925
639,45.07392914794032,12.80553179089803,1,red,1725,21,970.4663069664731,7.538316169126193
1477,45.17496436202514,11.332979137017944,13,blue,1725,14,1294.583702610771,6.641650485188059
-1274,50.397190957006806,13.592716175042016,4,red,1725,24,1239.1073455749029,6.400606866768848
-642,50.6274329558227,13.185752625776283,5,red,1725,27,1303.6614272766042,6.152628241162797
-943,52.08100402826854,13.96931739358324,29,black,1725,39,2560.72113969581,6.159480066363373
-241,47.85019479601254,13.574038114087879,10,red,1725,34,1668.9202237980812,7.090375069983214
1204,46.34794880888672,11.759797356723029,4,red,1725,7,830.4658187502239,6.547362190043566
-814,41.434720677036694,10.416875662285142,5,red,1725,26,1297.6412855044944,7.256650630956387
855,39.734691154041734,10.304645744575522,2,red,1725,16,912.2527170006438,7.8058634156882105
-1129,45.95565790484985,12.407925163799788,1,blue,1725,31,1263.2563077753914,7.026657008983172
503,70.06907159991167,17.926733612938726,0,red,1725,25,1028.433381642314,4.366927721190936
-1456,45.77279130618527,11.544524921727067,11,red,1725,33,1698.1638863490518,6.5900519207925266
155,63.448145916671955,15.965988930209003,9,green,1725,13,1228.8160038467984,4.743353783384583
-391,48.71110697943029,12.502493726741273,28,red,1725,34,2419.5813187562444,6.301852183569291
273,42.11551298130359,11.074909340879087,3,red,1725,39,1522.6356213168683,7.467643127097624
-258,51.43162950884841,15.087869049883874,0,green,1725,14,870.3612322839012,6.8217359128959645
-5,57.23026723739462,15.285519386212442,3,green,1725,25,1221.5887074222328,5.581567969220588
141,39.09228559402025,10.048417486728221,24,blue,1725,17,1886.2678876225937,7.863992851315831
-300,52.27782821547056,13.190451154680462,0,red,1725,1,607.218236134831,5.772343147138152
1080,47.54075357980154,12.583737473198587,5,red,1726,3,730.7991787329706,6.658939841879225
-1603,60.28458517709025,15.345225085302314,1,blue,1726,11,831.1763067185275,5.049963912561103
52,44.91094496881554,11.520869150380516,5,red,1726,1,806.2883224248521,6.831379672084849
-1186,40.17012410223586,10.503758159894751,3,red,1726,10,930.212789740934,7.785131133435835
1203,49.78910080790438,13.68234516787778,47,red,1726,16,2706.4399865602063,6.601149089124315
-27,60.90311096588789,15.828091255805191,17,blue,1726,35,1956.5214635193772,5.103606199362955
-1515,40.75395889731798,11.059578815811967,1,red,1726,16,953.4351480108506,7.963913732463349
-550,36.74342757897109,9.381244274940416,1,blue,1726,16,936.9953272263238,8.310529136970741
1236,48.569408732604025,14.266401323165393,0,green,1726,16,809.5042693417533,7.232965089826875
-1298,43.31395982584731,11.082091514036994,5,green,1726,15,1136.2545886562743,7.064696652430683
883,45.873478271177405,14.968746602352768,8,green,1726,33,1488.4057975081878,8.507259096300434
-900,52.59998478008359,13.994037702700926,2,green,1726,7,816.901999917945,6.0492198403944695
-204,45.95939616855471,12.505120566995377,14,blue,1726,37,1897.5882967857422,7.08054716826734
323,61.72256572850848,16.05048640614575,1,green,1727,32,1299.8419988004123,5.0388081331949905
-396,51.45965194404257,12.900531032107176,9,blue,1727,24,1407.7507805055814,5.8264156581504976
-969,52.137254007624925,14.941049825432161,3,red,1727,40,1545.0941234881727,6.573737707159323
-1683,62.15352923492158,18.84016459621962,9,blue,1727,36,1703.7281211668162,5.832848143592989
1089,54.464240220327,13.631208377235843,1,green,1727,30,1129.0584093666644,5.495902542566584
390,55.0917343466806,17.531176601496092,1,red,1727,25,1122.046093309415,6.908213333338984
155,45.78887814458674,11.551563829258143,2,red,1727,9,905.6879253411253,6.589437468833162
-551,43.92099834619021,12.036578515749827,9,red,1727,21,1378.8260706675737,7.462532091895589
1220,47.04466914672188,12.134103352920542,3,green,1727,17,958.006560546125,6.557139418681195
1749,39.37775840333923,10.54694829144147,22,blue,1727,11,1710.0260510294847,8.13490343126738
-198,51.26692635389241,13.028260968649318,16,red,1727,29,1798.038181405675,5.928426682855828
-1067,54.703203157648765,14.147531229801556,14,green,1727,35,1850.870083318231,5.654350318447944
-61,52.53047817092195,14.070813714897858,4,red,1727,36,1485.6744739743103,6.09851463631608
-889,48.1012448868438,12.061848088273864,3,green,1727,36,1470.4602913575934,6.2348898756721916
-1693,43.93169488869643,13.177505417319775,10,red,1727,25,1505.12269945245,8.165914929480348
-1504,48.4329048880057,13.075575938421611,3,red,1727,25,1211.4682048702348,6.666645422284128
-1364,48.467262343443885,12.864741086204425,1,red,1727,36,1329.8371095950213,6.549854256471119
468,51.44767154549982,12.981864285147255,1,blue,1728,38,1435.4456418954887,5.8658801042341455
-1491,47.60521576191025,12.18318428585685,1,blue,1728,10,845.3185412509449,6.429531124395127
395,44.709989429748674,12.460433926698434,16,red,1728,12,1465.3912895028805,7.455067799384837
-608,60.20112871825581,15.212444478584342,12,green,1728,26,1573.0993807912043,5.020157046338673
-1922,64.87637894995618,16.384137149490684,1,green,1728,16,985.3028542310668,4.655624405466653
-517,57.26573964831304,14.425195785770558,28,red,1728,13,1976.7310338119244,5.260893772025416
-82,62.10654940878195,17.554118399548067,45,blue,1728,38,3178.154650109278,5.442917940642507
-317,47.88749430579774,12.480441002337466,3,green,1728,19,1083.0984679210665,6.50898499156484
1281,62.63019856304233,16.902205454740397,0,red,1728,26,999.1145756767194,5.153512864659868
1324,53.34817522127239,13.524785847296116,0,red,1728,10,688.1145006024199,5.683538739468756
-1602,59.50998878767505,16.227394059048343,4,green,1728,0,768.2745654045224,5.4802025552562474
-823,38.81462749764848,13.939991324056816,7,green,1729,39,1684.9092786051813,11.066218052948834
1582,54.60128765911651,15.25179768993696,24,green,1729,17,1934.4458110657201,6.118469952174002
1311,58.95869801261266,15.432655914856095,5,green,1729,26,1247.7620730477438,5.30973039063814
-1437,53.686571331443616,15.47130065815745,14,blue,1729,3,1222.1757509723454,6.419822987877232
-30,53.2855994046714,14.467604074050849,23,red,1729,40,2369.035786361721,6.094028338523398
1112,37.914941643890714,10.576540084878063,23,red,1729,3,1495.8245862590654,8.799346125244854
-902,50.713503213081516,12.79015674568806,3,blue,1729,13,981.7714539806127,5.947797966731485
-1201,38.43382124729882,10.5563207271472,13,blue,1729,22,1569.0510960413258,8.546986343446385
-729,50.59008470810996,15.814621345624046,0,red,1729,7,756.0983469132719,7.3901890781283175
-283,49.531993924599014,12.733536012693277,2,red,1729,34,1376.8393006137212,6.207331854985169
-287,53.63692702722188,14.935444768839385,3,blue,1729,32,1339.6564574279978,6.208946945835874
-1984,58.529574463736225,16.084325848834023,21,blue,1729,28,2017.3944529126736,5.615387033131983
-627,53.42657038097006,15.116613375364913,2,red,1729,23,1130.1293283989685,6.333845684299896
-729,61.779913305718246,15.94853826413019,22,red,1729,11,1712.4702800828863,4.997512175481196
1426,48.809194240045535,14.435988227542374,2,blue,1729,1,602.0263488867017,7.247209367426458
796,40.99823789276094,10.723621432147699,6,red,1729,34,1383.5713657207968,7.630248057891293
1348,58.56137439706028,15.82853522451268,14,green,1729,23,1517.3098062354904,5.520085070180526
86,48.54683140457948,12.306669058225502,3,red,1729,27,1251.3621640426702,6.245199391370136
-661,44.26240385516847,11.380512572842004,5,red,1729,35,1508.4474586352808,6.94735346498218
-1472,43.996915921985604,11.73446920799721,2,red,1729,25,1142.040936924176,7.2501425531472785
-1554,43.570610805164506,11.1554701758389,1,blue,1729,18,1005.4249183604634,7.027941668210366
-1313,54.607714727506526,14.325739594172807,3,blue,1729,7,829.6342339525646,5.745616214587937
912,42.47571205265007,12.00944005093236,6,green,1729,11,960.9159887801532,7.961025000740196
-615,54.72101390866187,14.12728199861384,27,red,1729,32,2321.7668720496936,5.642582377336412
58,54.185950458890524,14.982006972781823,1,green,1729,35,1359.6147512086195,6.10273017966483
-1858,56.204015894681866,15.94231603818942,4,red,1729,4,844.5215444932497,6.03593123854339
1235,50.118302650941985,14.974562252895204,8,red,1729,9,1019.831079018933,7.129991171434782
1640,46.478798645203284,11.853796904121829,9,red,1729,20,1345.2275852150094,6.562589796388098
351,56.081150408889265,14.52193528135752,48,red,1729,22,2995.1285238717364,5.522277600012649
1135,49.61118578008451,12.835897386612093,8,red,1729,26,1360.0932481554507,6.237270612708988
399,56.49669942162618,15.767205441043663,5,red,1730,28,1390.4903697214609,5.907940843722722
556,54.04046090440985,13.838391309914494,2,red,1730,15,866.4032575860925,5.667285393844777
-1135,52.648710717831065,13.458904144682986,21,red,1730,17,1776.0071988708366,5.8071331549824565
304,48.043828411469576,13.073065125250633,0,red,1730,4,675.9896657118392,6.7737595368892505
861,53.27344361983881,14.344908168294108,13,red,1730,20,1440.9006256626765,6.04510426944007
-1674,53.30171983831611,13.619088070823468,5,red,1730,9,994.1524301609593,5.733147946635128
175,35.856560543903846,10.426044387839942,5,red,1730,14,1070.634949894201,9.698618527038615
259,48.59785582131371,12.796331150938384,25,red,1730,11,1827.8920190562528,6.480056898326699
-446,62.23575428486747,15.876200136227862,6,red,1730,24,1299.0570044190001,4.902236004045119
-63,56.191645401874695,14.137806878322785,15,blue,1730,20,1599.7044524500382,5.355081830075573
727,47.410897045988406,12.01683902406036,3,green,1730,21,1020.6980644264644,6.393835573846395
-853,43.73372168704624,12.75638007516892,20,blue,1730,28,1947.900461308677,7.976679489562241
26,60.67544735982713,21.070828103930907,17,red,1730,8,1423.5199377730087,6.845153559229411
1403,56.966205845599895,14.822926427939416,3,red,1730,25,1095.5757311578473,5.462946263460384
-596,59.721621434205744,17.19294997637127,23,blue,1730,2,1550.9313223930203,5.765205394153686
-77,55.84335930939625,14.741899439827092,19,red,1730,18,1747.3460906941066,5.653767408979836
565,43.87813091766272,10.980413310984607,8,green,1730,38,1609.2558481037886,6.821030847893701
-1712,49.61327235266041,13.18766804560412,22,green,1730,21,1898.0588959708703,6.407665413650709
1502,46.51965749415326,11.869803595735549,18,blue,1730,40,2083.1156549353827,6.559913022158093
829,51.45824437577605,13.548201894360481,13,blue,1730,20,1410.4538639729428,6.119265475735241
1149,53.932654473931414,13.532037805434399,1,green,1730,24,1049.5696000746673,5.564000694857658
731,58.97052308973686,15.654575472797207,10,red,1730,0,914.3359847781578,5.383923739173632
-461,48.1120773562558,13.748662900991345,5,red,1730,8,957.8622796641912,7.103621465995743
-1766,53.81748230983619,13.598329814721653,3,blue,1730,28,1266.6145432719363,5.615214904169106
-157,48.68817177350078,12.919231456500388,10,green,1731,20,1386.4520015051028,6.518044328908057
-1524,49.38696398990844,13.464275003449567,0,green,1731,9,743.0668100602371,6.602157494408139
-231,40.80323441647416,10.400320665498318,5,red,1731,21,1209.8371414593742,7.471109716335351
-515,52.84196465838875,13.44224632020152,25,black,1731,14,1851.1573010567204,5.7576001632495775
562,43.22056256995494,10.813424322410931,13,red,1731,28,1544.571748893387,6.9232494437711365
-1444,54.49174464128367,14.202466749137768,24,red,1731,14,1848.0368994357502,5.720446402753259
-264,56.98248965468677,15.717867989447818,2,red,1731,36,1459.661029749827,5.789464049864124
-1326,39.777377978060834,10.347056833584903,10,red,1731,33,1639.085118932983,7.821176657792377
29,50.373313245245185,14.274329921544409,17,red,1731,20,1696.5682429236438,6.727942351888234
-113,63.50278477327931,18.08006156160495,17,red,1731,24,1743.033094891744,5.362186669573788
1358,43.57030727938011,13.072917209215177,4,red,1731,21,1091.39515025449,8.236047267533912
425,54.14948798903248,14.412506363780563,2,green,1731,1,710.6107141229096,5.878660343182874
1004,59.10155500859129,16.26667284122675,12,red,1731,26,1496.2822172766118,5.569657403872287
370,53.867055207321904,14.654872608286816,7,blue,1731,27,1412.12869363637,6.040364468522656
739,41.00979450914377,10.428654607877418,3,red,1731,4,730.4899428754449,7.416186845491536
-1216,39.94157506252883,10.185709230385864,23,red,1732,23,1999.4144525897811,7.63604476478515
-1387,50.23982103661804,12.766766157302033,1,green,1732,22,1057.9947009211796,6.049399993549775
9,47.99136736043399,13.553313798617014,21,red,1732,5,1553.8474284779038,7.037960271609431
-1173,43.72845323389926,11.31705992810095,1,green,1732,33,1282.2016655757345,7.078364933285671
517,68.27099417901094,22.29263918073885,12,red,1732,0,988.3226497619787,5.720270913766561
-1651,46.5278296857121,12.253185040200561,2,blue,1732,37,1462.5715290978364,6.769412312785898
786,48.80166816348728,12.24987851693863,0,green,1732,6,621.945827504974,6.151627248282174
-1702,30.59742619358876,9.156688904959829,15,blue,1732,31,1790.8850986664318,11.697585627274925
652,43.946871617318166,11.010257576935235,4,blue,1732,1,665.6347632666723,6.818190233980646
-1097,51.957934881530925,13.631334051249604,25,green,1732,5,1680.6972045208818,6.038960145342287
-1217,57.1191382268114,14.463229913954763,55,red,1732,39,3564.3032119141885,5.301875950974128
-475,56.81776032329491,14.699514318986216,7,blue,1732,36,1639.7468446075068,5.445808055010479
323,49.171589456958465,12.533121133338136,4,red,1733,23,1212.9434738823827,6.199523470020336
-1035,37.64378974359925,9.849414308504382,11,green,1733,22,1445.1710701411691,8.312875826353315
-1125,49.26140008939366,14.847824791501749,27,red,1733,1,1686.543127638351,7.317738691795634
259,51.180775740099904,13.152017869510116,13,blue,1733,15,1437.0171993429312,6.004906190832578
-1529,51.547731840126005,13.840107517526333,6,red,1733,1,841.4339751002894,6.229424233845818
191,47.58582168542956,14.364638085960829,2,green,1733,37,1428.9047091912232,7.586948009172763
1472,41.543454666746,10.867640426646258,19,red,1733,39,1982.880080822204,7.531086025176689
43,34.55933535820066,8.774664842929242,1,green,1733,22,1117.1315501575443,8.786731166913016
-914,45.2290695769814,13.008379425783394,5,red,1733,25,1336.1041790435195,7.60528429998718
-1617,40.131853731658005,10.72171444127608,13,blue,1733,27,1647.274363596611,7.9618384266610756
-1,57.18375420826186,15.028810386042139,2,blue,1733,27,1189.7908843107425,5.496760847367926
-869,67.1310010558219,17.08944511148709,37,blue,1733,37,2840.4994800667037,4.53533404378721
1110,51.40340876097804,15.999066835767964,8,red,1733,22,1245.7634764006293,7.241664133083539
1626,58.18038871412619,16.493785907182378,1,green,1733,18,1035.1085313766805,5.82766637625829
831,41.13771981654672,10.850030092759948,6,green,1733,6,860.2784919662671,7.667928878726764
1187,54.93093685258635,14.552293187697044,24,red,1733,28,1998.7378123739543,5.767996512694256
-151,54.11485678414754,14.52171343302562,7,red,1733,21,1281.0540223716173,5.9307880068601
-937,52.81267023079761,13.741946405248513,3,red,1733,12,929.4776460291982,5.892499622023345
-1238,58.5729170588397,15.493415755335494,14,red,1733,27,1690.3745574589566,5.401085266437281
1159,51.34392679781433,12.858246159555307,1,blue,1733,30,1129.889354688908,5.8335260257183785
-18,49.73300505211908,14.216492724908214,8,blue,1733,13,1157.0397033805802,6.8743339964646
1338,53.95728618024869,13.981426984367477,6,black,1733,38,1526.7423856654732,5.7435296506290126
1472,46.557596083426745,11.680078692192652,3,blue,1734,6,737.9793911998585,6.444544658514765
1425,43.30581716790963,12.386890665469911,17,red,1734,26,1725.8343797807852,7.899459801955623
-638,42.32435098497344,12.166009424687532,8,blue,1734,9,1123.0702422954787,8.122600608812872
-463,61.345020339780454,15.665146742703618,4,red,1734,34,1447.6117123973543,4.978556075341041
1382,40.539634901433246,11.300294892671184,19,green,1734,25,1747.003171690344,8.223518541243878
-1053,47.98167462162514,14.644034773636843,9,red,1734,39,1722.2511779642834,7.607422103095309
-893,48.37176829301697,12.40397982603158,7,green,1734,16,1212.8331256224835,6.34022526897309
207,39.28157954519533,9.904617532728967,4,blue,1734,24,1200.7871396879707,7.676926621472828
-307,50.877467806198815,13.559148472521436,1,green,1734,0,670.6510557758501,6.2648258824006735
702,46.890396700389275,11.932976831020685,19,red,1734,27,1801.5966653832072,6.490954258931614
840,48.35205883431525,12.309955835089314,7,red,1734,1,787.8229356765403,6.297296149707314
-646,49.1766222405247,16.50012875665384,29,blue,1734,17,2104.5372806515616,8.160138081379763
-636,45.60702709949758,11.718330811018115,3,red,1734,26,1254.1425899098244,6.737981156029791
1212,50.54801374180499,13.69445901515948,5,red,1734,4,743.0343636950026,6.410091901598326
-1959,52.99576294858062,16.06400509270813,18,red,1735,36,2058.7174413518446,6.840677254444813
-968,48.178580990170794,12.825349977691026,10,blue,1735,31,1592.5864106308193,6.608285248217756
-1022,50.10651853460501,13.122286458880778,6,blue,1735,17,1176.1801724635898,6.250987385192178
-310,53.22982677608847,13.811966713927983,3,blue,1735,0,713.9798202903596,5.83005943923558
1123,46.05366581767002,11.857513233438675,1,red,1735,39,1319.9053479199608,6.686406450332754
-1346,49.16326376313487,13.50065373411428,11,blue,1735,7,1209.6912892697683,6.680376677244412
-1948,48.183785251109015,13.71961429677653,10,blue,1735,25,1486.7467398383849,7.0675296345181
-901,48.83956085768303,12.816053838629179,1,green,1735,13,867.8487580504678,6.425965473144722
1283,43.69449420108102,10.936998141516503,2,green,1735,3,658.2688031299392,6.851288739472605
1237,43.697117400818016,11.299410724621374,15,blue,1735,6,1211.7277242661632,7.077465865020323
-788,38.98540181063734,10.067653865443226,6,red,1735,18,1228.705874345015,7.922309619791923
-490,39.65564110139524,10.70108920894697,1,red,1735,39,1418.0132930276466,8.138523071803533
302,54.99131402924952,15.851303129318195,1,blue,1736,27,1155.4967114242218,6.269087647239855
688,44.5842002620736,11.753772888560823,0,red,1736,17,786.729350072637,7.072010526673485
-94,57.53348911495414,15.974308984124603,9,green,1736,23,1440.9626753241546,5.771759422367487
1321,51.14939048459599,14.616704865139324,5,red,1736,14,996.6357928339581,6.681840698768314
-761,48.768005791956554,13.875820426177476,8,blue,1736,20,1309.1144582522872,6.977763444647711
-1106,54.68084460329825,14.928778494248537,7,red,1736,25,1359.6306967721866,5.9714721518645275
-470,59.421626084181675,17.79115633479168,7,blue,1736,1,891.7934683583959,6.026188006821212
-1383,49.38976162489846,13.155520704890721,4,green,1736,20,1107.2072322134452,6.45003019156786
1092,56.52678371671977,14.739189445237672,1,red,1736,11,734.712330429853,5.516868283065657
-550,56.42749954391606,14.388714741459955,21,red,1736,11,1655.3248654742167,5.404654746285237
500,56.19183560998812,14.048709024179736,23,blue,1736,9,1584.6032752884503,5.321297550783201
-1728,61.480171377180355,15.985389306825967,4,blue,1736,37,1481.8618495033847,5.05802118332248
96,45.40598758488258,15.109757390108667,57,red,1736,27,3441.8181515220804,8.765138931252642
-436,52.697672204475126,13.201264134879592,3,red,1736,33,1346.0215037487199,5.685389491703337
-1744,48.3648633312573,12.18147043390547,2,red,1736,31,1259.2530442460552,6.228268847279209
447,44.06505392190025,12.891509338374872,10,blue,1736,30,1592.5779454856518,7.9404062214715045
802,41.183841940900564,10.952523932547837,7,blue,1736,25,1272.3328049027873,7.723035998249775
-892,57.37019827332457,14.473653626015919,17,red,1736,31,1891.4881861990407,5.259361692052144
-1729,44.771221207621664,12.287759415339385,5,blue,1736,13,1046.0098746625101,7.3316611293922715
1678,54.756869665590365,13.744119946207215,25,red,1737,9,1792.6791748991316,5.482356550666907
-107,47.51709853466506,12.59518011743635,22,green,1737,22,1884.476236029228,6.671632559755713
-171,59.573482558715575,16.429627431618652,7,green,1737,27,1445.3568076766242,5.536678457634657
-912,54.118336739972655,14.403358998179844,5,red,1737,35,1504.4905072567508,5.881694584893419
-1303,52.24236443938818,14.754565367066753,6,blue,1737,34,1505.3885095295325,6.465592615515203
-1796,59.224562173939994,15.088099394553224,16,blue,1737,30,1863.2724641012846,5.144680203770947
429,42.565964149887535,12.430146730099338,23,red,1737,28,2087.8472612346154,8.205005388857673
-585,61.89394861079778,16.497437708950564,2,black,1737,2,725.7842950790463,5.150479731595932
304,46.3314478510352,11.734813251563212,9,blue,1737,22,1409.7773332567342,6.53810669786657
683,48.71785889098877,12.317705064997025,4,blue,1737,29,1255.4120513425094,6.2069890614274295
-1100,54.607257394659285,13.756934475461241,10,blue,1737,31,1611.0311104841342,5.517578287479109
900,54.85074487112847,15.168687131669248,4,red,1737,1,672.152635262876,6.029905411632292
-1620,44.31926289908955,12.803544513704974,1,red,1737,38,1399.6613273016264,7.796016029682054
1452,45.20974260732167,12.841800560076702,8,green,1737,15,1122.8103452629164,7.514315352337635
1400,54.70927833968679,14.870088612194769,3,red,1737,21,1057.91123212412,5.941815324568737
-1110,45.27285353227753,11.851231747640417,19,red,1737,5,1425.4599842124853,6.9153683567884965
1566,47.40195241237803,16.184286708791138,2,blue,1737,7,815.4064849980517,8.61447210025715
-1496,40.700288552723116,11.10800567915356,2,blue,1737,38,1433.6145506523515,8.019894990627849
723,61.9355357665118,15.583616266019598,32,red,1737,13,2071.147157607651,4.858654453351637
-960,46.71342474384452,12.965452009244338,4,red,1737,31,1419.9090409139344,7.106108113999611
-601,56.702621774782735,14.876200515371385,4,blue,1737,24,1214.8471310812242,5.533670667921143
1546,53.893600619803074,14.226162152191264,40,red,1737,23,2651.9960567637563,5.857886064192762
579,61.61884727338016,15.952065578790553,15,blue,1737,35,1785.6817364586514,5.024783478987705
19,44.99504888928605,12.168242851544813,12,blue,1737,7,1231.033610501905,7.1882964246130605
918,45.06243122091312,11.952973804207938,3,red,1738,26,1138.8626606935172,7.040026510317151
146,52.07574295426774,15.06131041643902,14,blue,1738,26,1684.6105020283094,6.642313593232195
-1602,45.13295883791958,13.919357087603633,3,blue,1738,3,764.2191244842729,8.172579040650744
1596,48.232175634906895,12.794771594738316,2,red,1738,11,922.266029842885,6.577886841318732
1642,48.903890393652254,12.950509755824651,10,blue,1738,19,1346.4090835122838,6.47630971554896
575,50.035850064454564,13.336933177294567,15,green,1738,4,1169.2617189426596,6.371196144220225
-929,54.327129979305276,15.473106137408733,15,green,1738,33,1861.7177327147626,6.270057806073848
-694,49.197890806094826,12.802865300115451,28,red,1738,37,2432.4034560170676,6.326183323676186
-1467,45.102853426503316,11.672475422680918,6,red,1738,19,1226.924200272732,6.862502200533541
-1111,52.560200917021604,13.221941231227381,0,red,1738,32,1236.3527881699943,5.724120324542922
-1965,46.08754442843547,11.864543017528332,12,red,1738,27,1614.1330291609083,6.680538050852224
200,45.925776277045316,12.14710432539031,11,red,1738,2,1078.9367335366587,6.887907638752472
-909,58.98461956411785,15.797201298768995,5,green,1738,28,1353.1230879042203,5.430379137237485
-1547,46.21840914304879,11.662538990293509,6,red,1738,4,950.3152372844748,6.529661807273696
-1542,41.118195496780324,10.422893494802102,13,red,1738,32,1764.0958696363782,7.373060051078928
-1213,63.50437153624932,19.886469864380523,4,red,1738,23,1218.7380493542742,5.897636709309167
-1616,49.527561453677926,12.465256157877011,25,red,1739,20,1962.2897052242738,6.077638741079507
526,44.517366769601274,11.559629138761354,1,blue,1739,9,718.887469613576,6.976097327303078
-544,60.8341902949788,15.332385421472981,6,red,1739,11,1016.7600053036433,4.9549791255339715
1645,60.057982696600945,15.628584763596006,30,red,1739,38,2551.0791579637353,5.182099372602743
72,52.91710472677466,13.792038549900347,5,red,1739,35,1502.2873179974922,5.890658942835234
-165,65.39763809634671,16.862635447955245,21,red,1739,31,2041.2050271271996,4.715512377392832
-577,41.18190778575117,10.392848081810461,9,red,1739,26,1494.9078343347576,7.329075922923424
-307,39.091639857015444,11.521156844418032,1,red,1739,5,722.0944811822847,9.016871407256525
1729,57.97339225025011,16.400515104152763,0,green,1739,12,848.5759346052821,5.836165876011892
-422,58.829272103157756,15.310241358078109,12,red,1739,37,1807.8532281605405,5.290815932028995
39,48.68657466292447,12.239661697503344,6,blue,1739,33,1481.1471328819982,6.175591170055042
-834,52.132818590267526,13.075875362701472,13,red,1739,6,1242.1605941260434,5.754080397174422
907,53.04175739770674,13.911854469771294,9,green,1739,40,1655.8280487881257,5.913938194547119
332,40.92519105210758,10.96647071114035,2,green,1739,23,1145.9548007679784,7.830924146857977
-1018,48.37059818223206,12.922451915036604,1,blue,1739,21,1089.1306816863594,6.605558964800881
-949,53.53397502323036,13.477247954462822,0,red,1739,39,1368.5685218161668,5.6243171205489215
-1455,49.73054346878909,13.143224414556393,2,red,1739,27,1222.0830692034222,6.355988135823965
-725,38.57024791551397,9.811906856237018,3,blue,1740,16,1043.332267109578,7.8881674517180285
1312,41.65907667544543,13.740036327142017,10,green,1740,34,1554.5241066220553,9.468826654192696
-301,57.36849754034543,14.585249447522223,16,blue,1740,11,1456.03959300779,5.300227051367251
-792,44.694738492848025,11.598065896079328,6,blue,1740,7,992.5158654428515,6.943850084467836
756,39.020971983728806,10.153015439878653,7,red,1740,39,1601.254666273292,7.9749220273132835
1280,48.44241239272307,12.378771197735864,3,blue,1740,16,950.3436290136333,6.3088990167795505
-1909,53.629950030581746,16.334086350736957,6,blue,1740,30,1439.8827339897382,6.792155619822186
-1733,50.93066304775604,13.637368078063083,1,red,1740,17,965.102727695235,6.287810830045931
-239,48.5432603381549,14.351875829011206,27,green,1740,1,1709.8618234405553,7.2841411022583635
-1854,49.565557379050645,12.502174584169962,7,blue,1740,10,1092.3803988402356,6.086296923380858
-1056,50.540415290255375,12.812435588680879,6,green,1740,10,1016.0325991260814,5.999038483714791
40,49.241487006112116,13.054087986704413,21,blue,1740,17,1768.399769060693,6.438901508589405
-726,48.25478222997753,13.437974782697491,7,red,1741,0,852.0644126156369,6.902090778064832
-355,53.65020268219988,13.657017126668942,2,blue,1741,18,1032.1755235515925,5.674670970267133
808,55.96123679806513,14.111722135648684,1,red,1741,11,760.1602363252526,5.389307613606041
1505,50.874670098989206,14.764914032799675,4,red,1741,3,847.941697544104,6.8226842973042565
1235,57.606246415077564,15.072127509971798,6,blue,1741,16,1059.1722714038167,5.432040123762028
189,47.08000654416664,11.872685602089723,5,red,1741,29,1385.761370116404,6.406244408116008
