"","birthplace","date_of_birth","race_ethnicity","religion","year_of_award","movie","person"
"285","Pozzuoli, Italy","20-Sep-34","White","Roman Catholic",1962,"Two Women","Sophia Loren"
"286","Bronx, Ny","17-Sep-31","White","Roman Catholic",1963,"The Miracle Worker","Anne Bancroft"
"287","Packard, Ky","20-Jan-26","White","Roman Catholic",1964,"Hud","Patricia Neal"
"288","Walton-on-Thames, Surrey, England","1-Oct-35","White","Na",1965,"Mary Poppins","Julie Andrews"
"289","Chabua, Assam, India","14-Apr-41","White","Na",1966,"Darling","Julie Christie"
"290","London, England","27-Feb-32","White","Jewish",1967,"Who's Afraid of Virginia Woolf?","Elizabeth Taylor"
"291","Hartford, Ct","12-May-07","White","Atheist",1968,"Guess Who's Coming to Dinner","Katharine Hepburn"
"292","Brooklyn, Ny","24-Apr-42","White","Jewish",1969,"Funny Girl","Barbra Streisand"
"293","Hartford, Ct","12-May-07","White","Atheist",1969,"The Lion in Winter","Katharine Hepburn"
"294","Ilford, Essex, England","28-Dec-34","White","Na",1970,"The Prime of Miss Jean Brodie","Maggie Smith"
"295","Birkenhead, Cheshire, England","9-May-36","White","Na",1971,"Women in Love","Glenda Jackson"
"296","New York City","21-Dec-37","White","Born-Again Christian",1972,"Klute","Jane Fonda"
"297","Los Angeles, Ca","12-Mar-46","White","Na",1973,"Cabaret","Liza Minnelli"
"298","Birkenhead, Cheshire, England","9-May-36","White","Na",1974,"A Touch of Class","Glenda Jackson"
"299","Detroit, Mi","7-Dec-32","White","Sufism",1975,"Alice Doesn't Live Here Anymore","Ellen Burstyn"
"300","Birmingham, Al","22-Jul-34","White","Na",1976,"One Flew Over the Cuckoo's Nest","Louise Fletcher"
"301","Bascom, Fl","14-Jan-41","White","Roman Catholic",1977,"Network","Faye Dunaway"
"302","Los Angeles, Ca","5-Jan-46","White","Atheist",1978,"Annie Hall","Diane Keaton"
"303","New York City","21-Dec-37","White","Born-Again Christian",1979,"Coming Home","Jane Fonda"
"304","Pasadena, Ca","6-Nov-46","White","Na",1980,"Norma Rae","Sally Field"
"305","Quitman, Tx","25-Dec-49","White","Na",1981,"Coal Miner's Daughter","Sissy Spacek"
"306","Hartford, Ct","12-May-07","White","Atheist",1982,"On Golden Pond","Katharine Hepburn"
"307","Summit, Nj","22-Jun-49","White","Na",1983,"Sophie's Choice","Meryl Streep"
"308","Richmond, Va","24-Apr-34","White","Baptist",1984,"Terms of Endearment","Shirley MacLaine"
"309","Pasadena, Ca","6-Nov-46","White","Na",1985,"Places in the Heart","Sally Field"
"310","Kirksville, Mo","22-Nov-24","White","Na",1986,"The Trip to Bountiful","Geraldine Page"
"311","Morton Grove, Il","24-Aug-65","White","Jewish",1987,"Children of a Lesser God","Marlee Matlin"
"312","El Centro, Ca","20-May-46","White","Na",1988,"Moonstruck","Cher"
"313","Los Angeles, Ca","19-Nov-62","White","Atheist",1989,"The Accused","Jodie Foster"
"314","London, England","7-Jun-09","White","Na",1990,"Driving Miss Daisy","Jessica Tandy"
"315","Memphis, Tn","28-Jun-48","White","Na",1991,"Misery","Kathy Bates"
"316","Los Angeles, Ca","19-Nov-62","White","Atheist",1992,"The Silence of the Lambs","Jodie Foster"
"317","London, England","15-Apr-59","White","Na",1993,"Howards End","Emma Thompson"
"318","Conyers, Ga","20-Mar-58","White","Na",1994,"The Piano","Holly Hunter"
"319","Cloquet, Mn","20-Apr-49","White","Na",1995,"Blue Sky","Jessica Lange"
"320","Queens, Ny","4-Oct-46","White","Roman Catholic",1996,"Dead Man Walking","Susan Sarandon"
"321","Chicago, Il","23-Jun-57","White","Disciples of Christ",1997,"Fargo","Frances McDormand"
"322","Culver City, Ca","15-Jun-63","White","Na",1998,"As Good As It Gets","Helen Hunt"
"323","Los Angeles, Ca","27-Sep-72","White","Jewish",1999,"Shakespeare in Love","Gwyneth Paltrow"
"324","Lincoln, Ne","30-Jul-74","White","Na",2000,"Boys Don't Cry","Hilary Swank"
"325","Smyrna, Ga","28-Oct-67","White","Hindu",2001,"Erin Brockovich","Julia Roberts"
"326","Cleveland, Oh","14-Aug-66","Multiracial","Na",2002,"Monster's Ball","Halle Berry"
"327","Honolulu, Hi","20-Jun-67","White","Roman Catholic",2003,"The Hours","Nicole Kidman"
"328","Benoni, South Africa","7-Aug-75","White","Na",2004,"Monster","Charlize Theron"
"329","Lincoln, Ne","30-Jul-74","White","Na",2005,"Million Dollar Baby","Hilary Swank"
"330","New Orleans, La","22-Mar-76","White","Na",2006,"Walk the Line","Reese Witherspoon"
"331","Chiswick, London, England","26-Jul-45","White","Na",2007,"The Queen","Helen Mirren"
"332","Paris, France","30-Sep-75","White","Na",2008,"The Passionate Life of Edith Piaf","Marion Cotillard"
"333","Reading, England","5-Oct-75","White","Na",2009,"The Reader","Kate Winslet"
"334","Arlington, Va","26-Jul-64","White","Na",2010,"The Blind Side","Sandra Bullock"
"335","Jerusalem, Israel","9-Jun-81","White","Jewish",2011,"Black Swan","Natalie Portman"
"336","Summit, Nj","22-Jun-49","White","Na",2012,"The Iron Lady","Meryl Streep"
"337","Louisville, Ky","15-Aug-90","White","Na",2013,"Silver Linings Playbook","Jennifer Lawrence"
"338","Melbourne, Victoria, Australia","14-May-69","White","Na",2014,"Blue Jasmine","Cate Blanchett"
"339","Litchfield, Mn","15-Feb-1899","White","Na",1937,"Anthony Adverse","Gale Sondergaard"
"340","New York City","2-Nov-1892","White","Na",1938,"In Old Chicago","Alice Brady"
"341","Los Angeles, Ca","7-Dec-1891","White","Na",1939,"Jezebel","Fay Bainter"
"342","Wichita, Ks","10-Jun-1893","Black","Christian",1940,"Gone with the Wind","Hattie McDaniel"
"343","Palmyra, Mo","15-Oct-1879","White","Na",1941,"The Grapes of Wrath","Jane Darwell"
"344","Quincy, Il","3-May-06","White","Roman Catholic",1942,"The Great Lie","Mary Astor"
"345","New York City","27-Oct-18","White","Na",1943,"Mrs. Miniver","Teresa Wright"
"346","Athens, Greece","17-Dec-1900","White","Na",1944,"For Whom the Bell Tolls","Katina Paxinou"
"347","Philadelphia, Pa","15-Aug-1879","White","Roman Catholic",1945,"None but the Lonely Heart","Ethel Barrymore"
"348","New York City","25-Jun-1903","White","Na",1946,"National Velvet","Anne Revere"
"349","Michigan City, In","7-May-23","White","Na",1947,"The Razor's Edge","Anne Baxter"
"350","New York City","29-Apr-17","White","Na",1948,"Gentleman's Agreement","Celeste Holm"
"351","New York City","8-Mar-10","White","Na",1949,"Key Largo","Claire Trevor"
"352","Joliet, Il","17-Mar-16","White","Roman Catholic",1950,"All the King's Men","Mercedes McCambridge"
"353","Newtonville, Ma","3-Jan-1886","White","Na",1951,"Harvey","Josephine Hull"
"354","Detroit, Mi","12-Nov-22","White","Na",1952,"A Streetcar Named Desire","Kim Hunter"
"355","Los Angeles, Ca","28-Nov-23","White","Na",1953,"The Bad and the Beautiful","Gloria Grahame"
"356","Denison, Ia","27-Jan-21","White","Na",1954,"From Here to Eternity","Donna Reed"
"357","Newark, Nj","4-Jul-24","White","Na",1955,"On the Waterfront","Eva Marie Saint"
"358","Oakland, Ca","30-Dec-14","White","Na",1956,"East of Eden","Jo Van Fleet"
"359","Chicago, Il","30-Jan-25","White","Na",1957,"Written on the Wind","Dorothy Malone"
"360","Otaro, Hokkaido, Japan","3-Apr-29","Asian","Na",1958,"Sayonara","Miyoshi Umeki"
"361","Bramhall, Cheshire, England","15-Aug-12","White","Na",1959,"Separate Tables","Wendy Hiller"
"362","St. Louis, Mo","18-Aug-20","White","Jewish",1960,"The Diary of Anne Frank","Shelley Winters"
"363","Charleroi, Pa","31-Mar-34","White","Methodist",1961,"Elmer Gantry","Shirley Jones"
"364","Humacao, Puerto Rico","11-Dec-31","Hispanic","Na",1962,"West Side Story","Rita Moreno"
"365","Elmhurst, Ny","14-Dec-46","White","Roman Catholic",1963,"The Miracle Worker","Patty Duke"
"366","London, England","11-May-1892","White","Na",1964,"the V.I.P.s","Margaret Rutherford"
"367","St. Petersburg, Russia","9-Oct-18","White","Na",1965,"Zorba the Greek","Lila Kedrova"
"368","St. Louis, Mo","18-Aug-20","White","Jewish",1966,"A Patch of Blue","Shelley Winters"
"369","Hastings, Ne","27-Apr-37","White","Na",1967,"Who's Afraid of Virginia Woolf?","Sandy Dennis"
"370","Marblehead, Ma","20-Nov-27","White","Na",1968,"Bonnie and Clyde","Estelle Parsons"
"371","Quincy, Ma","30-Oct-1896","White","Na",1969,"Rosemary's Baby","Ruth Gordon"
"372","Silver Spring, Md","21-Nov-45","White","Buddhist",1970,"Cactus Flower","Goldie Hawn"
"373","Washington, Dc","10-Oct-1900","White","Na",1971,"Airport","Helen Hayes"
"374","Des Moines, Ia","30-Apr-26","White","Na",1972,"The Last Picture Show","Cloris Leachman"
"375","Columbus, Oh","29-Mar-19","White","Na",1973,"Butterflies Are Free","Eileen Heckart"
"376","Los Angeles, Ca","5-Nov-63","White","Na",1974,"Paper Moon","Tatum O'Neal"
"377","Stockholm, Sweden","29-Aug-15","White","Na",1975,"Murder on the Orient Express","Ingrid Bergman"
"378","New York City","31-Oct-27","White","Jewish",1976,"Shampoo","Lee Grant"
"379","Old Westbury, Ny","2-Aug-14","White","Na",1977,"Network","Beatrice Straight"
"380","London, England","30-Jan-37","White","Na",1978,"Julia","Vanessa Redgrave"
"381","Ilford, Essex, England","28-Dec-34","White","Na",1979,"California Suite","Maggie Smith"
"382","Summit, Nj","22-Jun-49","White","Na",1980,"Kramer vs. Kramer","Meryl Streep"
"383","Newport, Ar","8-Feb-53","White","Na",1981,"Melvin and Howard","Mary Steenburgen"
"384","Troy, Ny","21-Jun-25","White","Roman Catholic",1982,"Reds","Maureen Stapleton"
"385","Cloquet, Mn","20-Apr-49","White","Na",1983,"Tootsie","Jessica Lange"
"386","Morristown, Nj","2-Apr-45","White","Na",1984,"The Year of Living Dangerously","Linda Hunt"
"387","Croydon, Surrey, England","22-Dec-07","White","Agnostic",1985,"A Passage to India","Peggy Ashcroft"
"388","Santa Monica, Ca","8-Jul-51","White","Na",1986,"Prizzi's Honor","Anjelica Huston"
"389","Kansas City, Mo","28-Mar-48","White","Na",1987,"Hannah and Her Sisters","Dianne Wiest"
"390","Lowell, Ma","20-Jun-31","White","Na",1988,"Moonstruck","Olympia Dukakis"
"391","Wareham, Ma","21-Jan-56","White","Congregationalist",1989,"The Accidental Tourist","Geena Davis"
"392","Dublin, Ireland","17-Feb-45","White","Na",1990,"My Left Foot","Brenda Fricker"
"393","New York City","13-Nov-55","Black","Atheist",1991,"Ghost","Whoopi Goldberg"
"394","Queens, Ny","28-Feb-48","Hispanic","Roman Catholic",1992,"The Fisher King","Mercedes Ruehl"
"395","Brooklyn, Ny","4-Dec-64","White","Na",1993,"My Cousin Vinny","Marisa Tomei"
"396","Winnipeg, Manitoba, Canada","24-Jul-82","White","Na",1994,"The Piano","Anna Paquin"
"397","Kansas City, Mo","28-Mar-48","White","Na",1995,"Bullets Over Broadway","Dianne Wiest"
"398","Tenafly, Nj","28-Sep-67","White","Atheist",1996,"Mighty Aphrodite","Mira Sorvino"
"399","Paris, France","9-Mar-64","White","Na",1997,"The English Patient","Juliette Binoche"
"400","Athens, Ga","8-Dec-53","White","Na",1998,"L.A. Confidential","Kim Basinger"
"401","York, North Yorkshire, England","9-Dec-34","White","Quaker",1999,"Shakespeare in Love","Judi Dench"
"402","Los Angeles, Ca","4-Jun-75","White","Buddhist",2000,"Girl, Interrupted","Angelina Jolie"
"403","La Jolla, Ca","14-Aug-59","White","Na",2001,"Pollock","Marcia Gay Harden"
"404","Catskill Mountains, Ny","12-Dec-70","White","Jewish",2002,"A Beautiful Mind","Jennifer Connelly"
"405","Mumbles, Wales","25-Sep-69","White","Roman Catholic",2003,"Chicago","Catherine Zeta-Jones"
"406","Katy, Tx","25-Apr-69","White","Na",2004,"Cold Mountain","Ren̩e Zellweger"
"407","Melbourne, Victoria, Australia","14-May-69","White","Na",2005,"The Aviator","Cate Blanchett"
"408","London, England","7-Mar-71","White","Jewish",2006,"The Constant Gardener","Rachel Weisz"
"409","Chicago, Il","12-Sep-81","Black","Baptist",2007,"Dreamgirls","Jennifer Hudson"
"410","London, England","5-Nov-60","White","Na",2007,"Michael Clayton","Tilda Swinton"
"411","Madrid, Spain","28-Apr-74","Hispanic","Buddhist",2009,"Vicky Cristina Barcelona","Penelope Cruz"
"412","Woodlawn, Md","11-Dec-67","Black","Na",2010,"Precious","Mo'Nique"
"413","New York City","14-Sep-60","White","Na",2011,"The Fighter","Melissa Leo"
"414","Montgomery, Al","25-May-72","Black","Na",2012,"The Help","Octavia Spencer"
"415","Brooklyn, Ny","12-Nov-82","White","Christian",2013,"Les Mis̩rables","Anne Hathaway"
"416","Mexico City, Mexico","1-Mar-83","Black","Na",2014,"12 Years a Slave","Lupita Nyong'o"
"417","Sucha, Galicia, Austria","22-Jun-06","White","Jewish",1961,"The Apartment","Billy Wilder"
"418","Independence, Mo","16-Jul-11","White","Christian Science",1941,"Kitty Foyle","Ginger Rogers"
"419","Concord, Ca","9-Jul-56","White","Born-Again Christian",1994,"Philadelphia","Tom Hanks"
"420","New York City","3-Feb-39","White","Na",1979,"The Deer Hunter","Michael Cimino"
"421","Quincy, Il","3-May-06","White","Roman Catholic",1942,"The Great Lie","Mary Astor"
"422","Los Angeles, Ca","4-Jun-75","White","Buddhist",2000,"Girl, Interrupted","Angelina Jolie"
"423","New York City","31-Oct-27","White","Jewish",1976,"Shampoo","Lee Grant"
"424","New York City","25-Jun-1903","White","Na",1946,"National Velvet","Anne Revere"
"425","Bascom, Fl","14-Jan-41","White","Roman Catholic",1977,"Network","Faye Dunaway"
"426","Walters, Ok","13-Dec-10","White","Na",1943,"Johnny Eager","Van Heflin"
"427","Thomasville, Ga","27-Feb-30","White","Na",1958,"The Three Faces of Eve","Joanne Woodward"
"428","Helena, Mt","7-May-1901","White","Roman Catholic",1953,"High Noon","Gary Cooper"
"429","London, England","27-Feb-32","White","Jewish",1967,"Who's Afraid of Virginia Woolf?","Elizabeth Taylor"
"430","Lincoln, Ne","30-Jul-74","White","Na",2005,"Million Dollar Baby","Hilary Swank"
"431","Lincoln, Ne","30-Jul-74","White","Na",2005,"Million Dollar Baby","Hilary Swank"
"432","Los Angeles, Ca","27-Sep-72","White","Jewish",1999,"Shakespeare in Love","Gwyneth Paltrow"
"433","Malden, Ma","16-Jun-07","White","Na",1969,"The Subject Was Roses","Jack Albertson"
"434","Woodlawn, Md","11-Dec-67","Black","Na",2010,"Precious","Mo'Nique"
"435","La Jolla, Ca","14-Aug-59","White","Na",2001,"Pollock","Marcia Gay Harden"
"436","Ilford, Essex, England","28-Dec-34","White","Na",1970,"The Prime of Miss Jean Brodie","Maggie Smith"
"437","London, England","7-Mar-71","White","Jewish",2006,"The Constant Gardener","Rachel Weisz"
"438","Manchester, England","20-Oct-56","White","Roman Catholic",2009,"Slumdog Millionaire","Danny Boyle"
"439","Chicago, Il","26-Jul-22","White","Na",1977,"All the President's Men","Jason Robards"
"440","Laurel, Ne","31-Aug-28","White","Na",1999,"Affliction","James Coburn"
"441","Nevada, Mo","5-Aug-06","White","Na",1949,"The Treasure of the Sierra Madre","John Huston"
