title,gross,lifetime_gross,movie_facebook_likes,imdb_score,title_year,actor_1_name,actor_2_name,actor_3_name
Grown Ups 2,133668525.0,133668525,14000,5.4,2013.0,Steve Buscemi,Adam Sandler,Jon Lovitz
Get Smart,130313314.0,130319208,0,6.5,2008.0,Bill Murray,Dwayne Johnson,Anne Hathaway
Shutter Island,127968405.0,128012934,53000,8.1,2010.0,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto
Four Christmases,120136047.0,120146040,0,5.6,2008.0,Jon Favreau,Robert Duvall,Katy Mixon
Bedtime Stories,109993847.0,110101975,0,6.1,2008.0,Adam Sandler,Carmen Electra,Kathryn Joosten
Eagle Eye,101111837.0,101440743,0,6.6,2008.0,Rosario Dawson,Ethan Embry,Cameron Boyce
The Book of Eli,94822707.0,94835059,20000,6.9,2010.0,Denzel Washington,Mila Kunis,Gary Oldman
Yogi Bear,100169068.0,100246011,0,4.6,2010.0,Justin Timberlake,Tom Cavanagh,Josh Robert Thompson
Zookeeper,80360866.0,80360843,0,5.2,2011.0,Rosario Dawson,Leslie Bibb,Nicholas Turturro
Hotel Transylvania 2,169692572.0,169700110,16000,6.7,2015.0,Steve Buscemi,Adam Sandler,Fran Drescher
Evolution,,38345494,257,6.4,2015.0,Nissim Renard,Roxane Duran,Julie-Marie Parmentier
Evolution,,24770,257,6.4,2015.0,Nissim Renard,Roxane Duran,Julie-Marie Parmentier
Surrogates,38542418.0,38577772,0,6.3,2009.0,Bruce Willis,Devin Ratray,Boris Kodjoe
Nine,19673424.0,19676965,0,5.8,2009.0,Fergie,Elio Germano,Andrea Di Stefano
The Last Witch Hunter,27356090.0,27367660,21000,6.0,2015.0,Vin Diesel,Joseph Gilgun,Lotte Verbeek
Oceans,19406406.0,19422319,0,7.8,2009.0,Pedro Armendáriz Jr.,Jacques Perrin,Rie Miyazawa
Pompeii,23219748.0,23219748,20000,5.6,2014.0,Sasha Roiz,Currie Graham,Dylan Schombing
Journey 2: The Mysterious Island,103812241.0,103860290,0,5.8,2012.0,Josh Hutcherson,Dwayne Johnson,Kristin Davis
Cloudy with a Chance of Meatballs 2,119793567.0,119793567,15000,6.5,2013.0,Will Forte,Khamani Griffin,Melissa Sturm
Jack and Jill,74158157.0,74158157,0,3.4,2011.0,Al Pacino,Adam Sandler,Tim Meadows
The Little Prince,1339152.0,1339152,31000,7.8,2015.0,Jeff Bridges,James Franco,Mackenzie Foy
The Secret Life of Pets,323505540.0,368384330,36000,6.8,2016.0,Steve Coogan,Eric Stonestreet,Albert Brooks
Despicable Me 2,368049635.0,368061265,56000,7.5,2013.0,Steve Carell,Miranda Cosgrove,Steve Coogan
Wanted,134568845.0,134508551,0,6.7,2008.0,Angelina Jolie Pitt,Morgan Freeman,Common
Now You See Me,117698894.0,117723989,105000,7.3,2013.0,Morgan Freeman,Common,Michael Kelly
Grown Ups,162001186.0,162001186,12000,6.0,2010.0,Steve Buscemi,Adam Sandler,Salma Hayek
Hotel for Dogs,73023275.0,73034460,1000,5.4,2009.0,Don Cheadle,Kevin Dillon,Yvette Nicole Brown
Killers,47000485.0,47059963,0,5.4,2010.0,Tom Selleck,Lisa Ann Walter,Catherine O'Hara
Immortals,83503161.0,83504017,30000,6.1,2011.0,Henry Cavill,Daniel Sharman,Steve Byers
Carriers,90820.0,104352,0,6.0,2009.0,Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci
Minions,336029560.0,336045770,70000,6.4,2015.0,Steve Carell,Jon Hamm,Steve Coogan
Sucker Punch,36381716.0,36392502,42000,6.1,2011.0,Jon Hamm,Abbie Cornish,Scott Glenn
The Angry Birds Movie,107225164.0,107509366,14000,6.3,2016.0,Peter Dinklage,Josh Gad,Keegan-Michael Key
Fool's Gold,70224196.0,70231041,0,5.6,2008.0,Matthew McConaughey,Ray Winstone,Alexis Dziena
Funny People,51814190.0,51855045,0,6.4,2009.0,Adam Sandler,RZA,Maude Apatow
The SpongeBob Movie: Sponge Out of Water,162495848.0,162994032,16000,6.0,2015.0,Tim Conway,Billy West,Eddie Deezen
Inglourious Basterds,120523073.0,120540719,42000,8.3,2009.0,Michael Fassbender,Brad Pitt,Christoph Waltz
Alvin and the Chipmunks: The Squeakquel,219613391.0,219614612,2000,4.5,2009.0,Amy Poehler,Bridgit Mendler,Jesse McCartney
Olympus Has Fallen,98895417.0,98925640,45000,6.5,2013.0,Gerard Butler,Morgan Freeman,Radha Mitchell
War Horse,79883359.0,79884879,28000,7.2,2011.0,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan
The Monuments Men,78031620.0,78031620,34000,6.1,2014.0,Bill Murray,Matt Damon,Bob Balaban
Wall Street: Money Never Sleeps,52474616.0,52474616,13000,6.3,2010.0,Frank Langella,Austin Pendleton,John Buffalo Mailer
Dracula Untold,55942830.0,56280355,37000,6.3,2014.0,Dominic Cooper,Sarah Gadon,Zach McGowan
The Dilemma,48430355.0,48475290,0,5.3,2011.0,Channing Tatum,Clint Howard,Chelcie Ross
Rock of Ages,38509342.0,38518613,33000,5.9,2012.0,James Martin Kelly,Shane Hartline,Celina Beach
Killer Elite,25093607.0,25124966,17000,6.5,2011.0,Jason Statham,Robert De Niro,Ben Mendelsohn
Legends of Oz: Dorothy's Return,8460990.0,8462027,5000,5.6,2013.0,Lea Michele,Oliver Platt,Jim Belushi
Blackhat,7097125.0,8005980,11000,5.4,2015.0,Chris Hemsworth,Archie Kao,Brandon Molale
Escape Plan,25121291.0,25135965,34000,6.7,2013.0,Sylvester Stallone,50 Cent,Matt Gerald
The Legend of Hercules,18821279.0,18848538,12000,4.2,2014.0,Roxanne McKee,Luke Newberry,Gaia Weiss
The Twilight Saga: Eclipse,300523113.0,300531751,29000,4.9,2010.0,Robert Pattinson,Kristen Stewart,Anna Kendrick
Despicable Me,251501645.0,251513985,31000,7.7,2010.0,Steve Carell,Miranda Cosgrove,Jack McBrayer
Ted 2,81257500.0,81476385,30000,6.4,2015.0,Liam Neeson,Morgan Freeman,Seth MacFarlane
Agora,617840.0,619423,29000,7.2,2009.0,Max Minghella,Ashraf Barhom,Rupert Evans
Hall Pass,45045037.0,45060734,10000,5.9,2011.0,Jenna Fischer,Larry Joe Campbell,Stephen Merchant
The Finest Hours,27550735.0,27569558,12000,6.8,2016.0,Michael Raymond-James,Abraham Benrubi,Graham McTavish
Body of Lies,39380442.0,39394666,0,7.1,2008.0,Leonardo DiCaprio,Simon McBurney,Michael Gaston
Dinner for Schmucks,72980108.0,73026337,0,5.9,2010.0,Steve Carell,Stephanie Szostak,Bruce Greenwood
Abraham Lincoln: Vampire Hunter,37516013.0,37519139,98000,5.9,2012.0,Rufus Sewell,Dominic Cooper,Benjamin Walker
Need for Speed,43568507.0,43577636,32000,6.5,2014.0,Rami Malek,Dominic Cooper,Ramon Rodriguez
Lincoln,182204440.0,182207973,71000,7.4,2012.0,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill
Step Brothers,100468793.0,100468793,0,6.9,2008.0,Will Ferrell,Adam Scott,Andrea Savage
Due Date,100448498.0,100539043,25000,6.6,2010.0,Robert Downey Jr.,RZA,Matt Walsh
Unbroken,115603980.0,115637895,35000,7.2,2014.0,Finn Wittrock,Jack O'Connell,Alex Russell
Unbroken,115603980.0,115637895,35000,7.2,2014.0,Finn Wittrock,Jack O'Connell,Alex Russell
The Dictator,59617068.0,59650222,59000,6.4,2012.0,Sayed Badreya,Aasif Mandvi,Horatio Sanz
Annie,85911262.0,57059003,16000,5.2,2014.0,Quvenzhané Wallis,Dorian Missick,David Zayas
Focus,53846915.0,645418,23000,6.6,2015.0,Will Smith,Adrian Martinez,Gerald McRaney
This Means War,54758461.0,54760791,18000,6.3,2012.0,Tom Hardy,Abigail Spencer,Warren Christie
Resident Evil: Retribution,42345531.0,42345531,32000,5.4,2012.0,Milla Jovovich,Boris Kodjoe,Bingbing Li
Death Race,36064910.0,36316032,0,6.4,2008.0,Jason Statham,Max Ryan,Joan Allen
"I, Frankenstein",19059018.0,19075290,15000,5.1,2014.0,Caitlin Stasey,Kevin Grevioux,Miranda Otto
Astro Boy,19548064.0,19551067,0,6.3,2009.0,Nicolas Cage,Charlize Theron,Dee Bradley Baker
Dragon Blade,72413.0,74068,0,6.1,2015.0,Si Won Choi,Peng Lin,Sung-jun Yoo
The Love Guru,32178777.0,32235793,0,3.8,2008.0,Justin Timberlake,Romany Malco,Verne Troyer
The Hateful Eight,54116191.0,54117416,114000,7.9,2015.0,Craig Stark,Jennifer Jason Leigh,Zoë Bell
Hop,108012170.0,108085305,0,5.5,2011.0,Gary Cole,Elizabeth Perkins,Chelsea Handler
Gone Girl,167735396.0,167767189,146000,8.1,2014.0,Patrick Fugit,Sela Ward,Emily Ratajkowski
2 Guns,75573300.0,75612460,22000,6.7,2013.0,Denzel Washington,Patrick Fischler,Fred Ward
Couples Retreat,109176215.0,109204945,0,5.5,2009.0,Jon Favreau,Kristin Davis,Tasha Smith
Eat Pray Love,80574010.0,80574010,26000,5.7,2010.0,James Franco,Julia Roberts,Billy Crudup
Jack Reacher,80033643.0,80070736,38000,7.0,2012.0,Tom Cruise,Robert Duvall,David Oyelowo
Jack Reacher,80033643.0,80070736,38000,7.0,2012.0,Tom Cruise,Robert Duvall,David Oyelowo
Contagion,75638743.0,75658097,42000,6.6,2011.0,Matt Damon,Monique Gabriela Curnen,Griffin Kane
Coraline,75280058.0,75286229,10000,7.7,2009.0,Jennifer Saunders,Dawn French,John Hodgman
The Happening,64505912.0,64506874,6000,5.0,2008.0,Zooey Deschanel,Alan Ruck,Kristen Connolly
ParaNorman,55994557.0,56003051,12000,7.0,2012.0,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch
The Tale of Despereaux,50818750.0,50877145,0,6.1,2008.0,Emma Watson,Matthew Broderick,Frank Langella
Jack Ryan: Shadow Recruit,50549107.0,50577412,17000,6.2,2014.0,Colm Feore,Nonso Anozie,Gemma Chan
Joy,56443482.0,56451232,24000,6.6,2015.0,Jennifer Lawrence,Robert De Niro,Bradley Cooper
London Has Fallen,62401264.0,62678608,28000,5.9,2016.0,Gerard Butler,Radha Mitchell,Julian Kostov
The Boxtrolls,50807639.0,50837305,11000,6.8,2014.0,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan
Gangster Squad,45996718.0,46000903,40000,6.7,2013.0,Ryan Gosling,Brandon Molale,Wade Williams
Year One,43337279.0,43337279,0,4.9,2009.0,Olivia Wilde,Oliver Platt,Xander Berkeley
Invictus,37479778.0,37491364,23000,7.4,2009.0,Matt Damon,Morgan Freeman,Leleti Khumalo
State of Play,36965395.0,37017955,0,7.1,2009.0,Robin Wright,Harry Lennix,Michael Weston
Duplicity,40559930.0,40572825,0,6.2,2009.0,Julia Roberts,Tom Wilkinson,Denis O'Hare
Planet 51,42194060.0,42194060,0,6.1,2009.0,Dwayne Johnson,Gary Oldman,James Corden
Trouble with the Curve,35754555.0,35763137,11000,6.8,2012.0,Clint Eastwood,Ed Lauter,Bob Gunton
Edge of Darkness,43290977.0,43313890,0,6.6,2010.0,Bojana Novakovic,Ray Winstone,Denis O'Hare
Righteous Kill,40076438.0,40081410,0,6.0,2008.0,Robert De Niro,Al Pacino,50 Cent
The Soloist,31670931.0,31720158,0,6.7,2009.0,Robert Downey Jr.,Stephen Root,Rachael Harris
Priest,29136626.0,29136626,20000,5.7,2011.0,Josh Wingate,Alan Dale,Jacob Hopkins
Winter's Tale,22451.0,12600231,17000,6.2,2014.0,Matt Bomer,William Hurt,Kevin Corrigan
The Mortal Instruments: City of Bones,31165421.0,31165421,44000,6.0,2013.0,Aidan Turner,Kevin Zegers,CCH Pounder
Meet Dave,11802056.0,11803254,791,4.9,2008.0,Marc Blucas,Mike O'Malley,Shawn Christian
Inkheart,17281832.0,17303424,0,6.1,2008.0,Brendan Fraser,Stephen Graham,Jamie Foreman
The Spirit,19781879.0,19806188,2000,4.8,2008.0,Scarlett Johansson,Jaime King,Louis Lombardi
Mortdecai,7605668.0,7696134,12000,5.5,2015.0,Johnny Depp,Olivia Munn,Ulrich Thomsen
Deadpool,363024263.0,363070709,117000,8.1,2016.0,Ryan Reynolds,Ed Skrein,Stefan Kapicic
American Sniper,350123553.0,350126372,112000,7.3,2014.0,Bradley Cooper,Leonard Roberts,Keir O'Donnell
Goosebumps,80021740.0,80080379,35000,6.4,2015.0,Odeya Rush,Dylan Minnette,Ken Marino
Goosebumps,80021740.0,80080379,35000,6.4,2015.0,Odeya Rush,Dylan Minnette,Ken Marino
Leatherheads,31199215.0,31373938,472,6.0,2008.0,Robert Baker,Malcolm Goodwin,Matt Bushell
Did You Hear About the Morgans?,29580087.0,29580087,0,4.7,2009.0,Michael Kelly,Kim Shaw,Kevin Brown
The Internship,44665963.0,44672764,22000,6.3,2013.0,Josh Gad,Jessica Szohr,Rob Riggle
Resident Evil: Afterlife,60128566.0,60128566,19000,5.9,2010.0,Milla Jovovich,Boris Kodjoe,Shawn Roberts
Red Tails,49875589.0,49876377,0,5.9,2012.0,David Oyelowo,Nate Parker,Tristan Mack Wilds
That's My Boy,36931089.0,36931089,12000,5.6,2012.0,Adam Sandler,Leighton Meester,Will Forte
Ghost Rider: Spirit of Vengeance,51774002.0,51774002,18000,4.3,2011.0,Nicolas Cage,Spencer Wilding,Christopher Lambert
Captain Phillips,107100855.0,107100855,65000,7.9,2013.0,Tom Hanks,Chris Mulkey,Michael Chernus
Date Night,98711404.0,98711404,0,6.3,2010.0,Mila Kunis,James Franco,Steve Carell
The Equalizer,101530738.0,101530738,56000,7.2,2014.0,Denzel Washington,Chloë Grace Moretz,James Wilcox
Mr. Popper's Penguins,68218041.0,68224452,14000,6.0,2011.0,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall
The Forbidden Kingdom,25040293.0,52075270,0,6.6,2008.0,Jet Li,Thomas McDonell,Michael Angarano
Free Birds,55747724.0,55750480,0,5.9,2013.0,Amy Poehler,Carlos Ponce,Dan Fogler
Paddington,76137505.0,76271832,30000,7.2,2014.0,Julie Walters,Matt Lucas,Sally Hawkins
The Watch,34350553.0,35353000,15000,5.7,2012.0,Will Forte,Nicholas Braun,Rosemarie DeWitt
The Watch,34350553.0,35353000,15000,5.7,2012.0,Will Forte,Nicholas Braun,Rosemarie DeWitt
Semi-Pro,33472850.0,33479698,0,5.8,2008.0,Will Ferrell,Maura Tierney,Matt Walsh
The Pirates! Band of Misfits,31051126.0,31051126,0,6.7,2012.0,Salma Hayek,Russell Tovey,Brian Blessed
Changeling,35707327.0,35739802,14000,7.8,2008.0,Angelina Jolie Pitt,Michael Kelly,Colm Feore
Imagine That,16088610.0,16123323,610,5.6,2009.0,Stephen Root,Ronny Cox,Richard Schiff
Muppets Most Wanted,51178893.0,51183113,10000,6.4,2014.0,Ty Burrell,Tina Fey,Hugh Bonneville
Burlesque,39440655.0,39440655,19000,6.4,2010.0,Eric Dane,Peter Gallagher,David Walton
Seven Pounds,69951824.0,69951824,26000,7.7,2008.0,Will Smith,Rosario Dawson,Madison Pettis
Bullet to the Head,9483821.0,9489829,10000,5.7,2012.0,Sylvester Stallone,Jason Momoa,Jon Seda
Black Mass,62563543.0,62575678,44000,7.0,2015.0,Johnny Depp,Benedict Cumberbatch,Adam Scott
Law Abiding Citizen,73343413.0,73357727,21000,7.4,2009.0,Gerard Butler,Leslie Bibb,Michael Kelly
Zero Dark Thirty,95720716.0,95720716,39000,7.4,2012.0,Jennifer Ehle,Harold Perrineau,Parker Sawyers
Mamma Mia!,143704210.0,144130063,10000,6.3,2008.0,Colin Firth,Meryl Streep,Julie Walters
Valentine's Day,110476776.0,110485654,9000,5.7,2010.0,Bradley Cooper,Taylor Lautner,Anne Hathaway
The Change-Up,37035845.0,37081475,13000,6.4,2011.0,Ryan Reynolds,Olivia Wilde,Mircea Monroe
From Paris with Love,23324666.0,24077427,0,6.5,2010.0,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan
The Twilight Saga: New Moon,296623634.0,296623634,13000,4.6,2009.0,Robert Pattinson,Kristen Stewart,Taylor Lautner
The Adjustment Bureau,62453315.0,62495645,36000,7.1,2011.0,Matt Damon,Michael Kelly,Jon Stewart
Ted,218628680.0,218815487,74000,7.0,2012.0,Mila Kunis,Seth MacFarlane,Tom Skerritt
Anchorman 2: The Legend Continues,2175312.0,127352707,41000,6.3,2013.0,Harrison Ford,Will Ferrell,Steve Carell
Super 8,126975169.0,127004179,37000,7.1,2011.0,Joel Courtney,AJ Michalka,Zach Mills
22 Jump Street,191616238.0,191719337,24000,7.1,2014.0,Channing Tatum,Craig Roberts,Amber Stevens West
Yes Man,97680195.0,97690976,0,6.8,2008.0,Bradley Cooper,Zooey Deschanel,Danny Masterson
Central Intelligence,126088877.0,127440871,10000,6.6,2016.0,Dwayne Johnson,Thomas Kretschmann,Megan Park
Daddy's Home,150315155.0,150357137,13000,6.1,2015.0,Will Ferrell,Linda Cardellini,Mark L. Young
Into the Woods,127997349.0,128002372,90000,6.0,2014.0,Johnny Depp,Meryl Streep,Anna Kendrick
We Bought a Zoo,75621915.0,75624550,22000,7.1,2011.0,Scarlett Johansson,Matt Damon,Stephanie Szostak
Knowing,79948113.0,79957634,0,6.2,2009.0,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury
"Crazy, Stupid, Love.",84244877.0,84351197,44000,7.4,2011.0,Ryan Gosling,Emma Stone,Steve Carell
Moneyball,75605492.0,75605492,27000,7.6,2011.0,Philip Seymour Hoffman,Robin Wright,Brad Pitt
Non-Stop,91439400.0,92168600,24000,7.0,2014.0,Liam Neeson,Nate Parker,Scoot McNairy
Race to Witch Mountain,67128202.0,67172594,0,5.7,2009.0,Dwayne Johnson,Billy Brown,Tom Everett Scott
I Am Number Four,55092830.0,55100437,27000,6.1,2011.0,Alex Pettyfer,Emily Wickersham,Reuben Langdon
The Book of Life,50150619.0,9740,18000,7.3,2014.0,Channing Tatum,Hector Elizondo,Ana de la Reguera
American Reunion,56724080.0,57011521,39000,6.7,2012.0,Alyson Hannigan,Dania Ramirez,Natasha Lyonne
The Judge,47105085.0,47119388,47000,7.4,2014.0,Robert Downey Jr.,Robert Duvall,Leighton Meester
Ninja Assassin,38105077.0,38122883,0,6.4,2009.0,Shô Kosugi,Ben Miles,Rain
Marmaduke,33643461.0,33644788,0,4.2,2010.0,Emma Stone,Judy Greer,Steve Coogan
Hereafter,32741596.0,32746941,16000,6.5,2010.0,Matt Damon,Jay Mohr,Cécile De France
The Host,26616999.0,2201923,43000,5.9,2013.0,J.D. Evermore,Chandler Canterbury,Rachel Roberts
The International,25450527.0,25450527,0,6.5,2009.0,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl
Free State of Jones,20389967.0,20810036,10000,6.7,2016.0,Matthew McConaughey,Donald Watkins,Jessica Collins
Run All Night,26442251.0,26461644,15000,6.6,2015.0,Liam Neeson,Common,Bruce McGill
Your Highness,21557240.0,21596445,18000,5.6,2011.0,Natalie Portman,Zooey Deschanel,James Franco
Dream House,21283440.0,21302340,0,6.0,2011.0,Naomi Watts,Gregory Smith,Sarah Gadon
Gamer,20488579.0,20534907,0,5.8,2009.0,Gerard Butler,Logan Lerman,Alison Lohman
Beautiful Creatures,19445217.0,55835,14000,6.2,2013.0,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince
Zoolander 2,28837115.0,28848693,28000,4.8,2016.0,Milla Jovovich,Will Ferrell,Justin Theroux
Drive Angry,10706786.0,10721033,15000,5.5,2011.0,Nicolas Cage,Billy Burke,Katy Mixon
Street Fighter: The Legend of Chun-Li,8742261.0,8742261,0,3.7,2009.0,Chris Klein,Robin Shou,Josie Ho
Pirate Radio,7994115.0,8017917,21000,7.4,2009.0,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge
Anna Karenina,12802907.0,12816367,36000,6.6,2012.0,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen
Chappie,31569268.0,31569268,67000,6.9,2015.0,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo
Child 44,1206135.0,1224330,18000,6.4,2015.0,Tom Hardy,Fares Fares,Michael Nardone
Taken 3,89253340.0,89256424,38000,6.0,2014.0,Liam Neeson,Dougray Scott,Jon Gries
Jonah Hex,10539414.0,10547117,0,4.7,2010.0,Michael Fassbender,Billy Blair,Julia Jones
The Infiltrator,14946229.0,15436808,0,7.3,2016.0,Joseph Gilgun,Amy Ryan,Olympia Dukakis
Taken 2,139852971.0,139854287,63000,6.3,2012.0,Liam Neeson,Luke Grimes,D.B. Sweeney
Journey to the Center of the Earth,101702060.0,101704370,0,5.8,2008.0,Josh Hutcherson,Brendan Fraser,Anita Briem
Prisoners,60962878.0,61002302,86000,8.1,2013.0,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette
The Muppets,88625922.0,88631237,26000,7.1,2011.0,Bill Cobbs,Eric Jacobson,Steve Whitmire
Blended,46280507.0,46294610,12000,6.5,2014.0,Bella Thorne,Adam Sandler,Joel McHale
Revolutionary Road,22877808.0,22911480,0,7.3,2008.0,Leonardo DiCaprio,Kate Winslet,Joe Komara
Babylon A.D.,22531698.0,22532572,0,5.6,2008.0,Vin Diesel,Charlotte Rampling,David Belle
Aliens in the Attic,25200412.0,25200412,916,5.4,2009.0,Malese Jow,Carter Jenkins,Tim Meadows
The Ghost Writer,15523168.0,15541549,15000,7.2,2010.0,Jim Belushi,Olivia Williams,Timothy Hutton
Miracle at St. Anna,7916887.0,7919117,0,6.0,2008.0,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso
Bangkok Dangerous,15279680.0,15298133,0,5.4,2008.0,Nicolas Cage,Charlie Yeung,James With
Johnny English Reborn,8129455.0,8305970,17000,6.3,2011.0,Daniel Kaluuya,Tim McInnerny,Togo Igawa
Argo,136019448.0,136025503,89000,7.7,2012.0,Clea DuVall,Scoot McNairy,Tate Donovan
The Bounty Hunter,67061228.0,67061228,0,5.5,2010.0,Gerard Butler,Dorian Missick,Peter Greene
Victor Frankenstein,5773519.0,5775076,11000,6.0,2015.0,Daniel Radcliffe,Spencer Wilding,Daniel Mays
Victor Frankenstein,5773519.0,5775076,11000,6.0,2015.0,Daniel Radcliffe,Spencer Wilding,Daniel Mays
Victor Frankenstein,5773519.0,5775076,11000,6.0,2015.0,Daniel Radcliffe,Spencer Wilding,Daniel Mays
Charlie St. Cloud,31136950.0,31162545,0,6.5,2010.0,Augustus Prew,Charlie Tahan,Valerie Tian
The Mechanic,29113588.0,29121498,16000,6.6,2011.0,Jason Statham,Tony Goldwyn,Mini Anden
21 Jump Street,138447667.0,138447667,39000,7.2,2012.0,Channing Tatum,Dax Flame,Rob Riggle
The Heat,159578352.0,159582188,24000,6.6,2013.0,Michael Rapaport,William Xifaras,Demián Bichir
Here Comes the Boom,45290318.0,45290318,17000,6.5,2012.0,Salma Hayek,Reggie Lee,Charice
Red Riding Hood,37652565.0,37662162,20000,5.4,2011.0,Gary Oldman,Billy Burke,Virginia Madsen
The Warrior's Way,5664251.0,5666340,0,6.3,2010.0,Tony Cox,Dong-gun Jang,Jed Brophy
Micmacs,1260917.0,1262079,0,7.2,2009.0,Omar Sy,Dany Boon,André Dussollier
Man on a Ledge,18600911.0,18620000,11000,6.6,2012.0,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron
The Big Year,7204138.0,7204138,11000,6.2,2011.0,Joel McHale,Kevin Pollak,JoBeth Williams
American Hustle,150117807.0,150117807,63000,7.3,2013.0,Jennifer Lawrence,Christian Bale,Bradley Cooper
The Proposal,163947053.0,163958031,10000,6.7,2009.0,Ryan Reynolds,Denis O'Hare,Craig T. Nelson
Lucy,126546825.0,126663600,83000,6.4,2014.0,Scarlett Johansson,Morgan Freeman,Amr Waked
Fifty Shades of Grey,166147885.0,166167230,101000,4.1,2015.0,Jennifer Ehle,Luke Grimes,Callum Rennie
Lone Survivor,125069696.0,125095601,58000,7.6,2013.0,Jerry Ferrara,Scott Elrod,Dan Bilzerian
The Conjuring 2,102310175.0,102470008,40000,7.8,2016.0,Javier Botet,Frances O'Connor,Robin Atkin Downes
The Social Network,96917897.0,96962694,74000,7.7,2010.0,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope
He's Just Not That Into You,93952276.0,93953653,12000,6.4,2009.0,Carmen Perez,Sabrina Revelle,Sachiko Ishida
Get Hard,90353764.0,90411453,14000,6.0,2015.0,Will Ferrell,Alison Brie,Craig T. Nelson
Julie & Julia,94125426.0,94125426,13000,7.0,2009.0,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito
42,95001343.0,95020213,28000,7.5,2013.0,Harrison Ford,Christopher Meloni,Nicole Beharie
Dumb and Dumber To,86208010.0,86208010,55000,5.7,2014.0,Bill Murray,Kathleen Turner,Rob Riggle
The Intern,75274748.0,75764672,54000,7.2,2015.0,Robert De Niro,Anne Hathaway,Rene Russo
Ride Along 2,90835030.0,91221830,0,5.9,2016.0,Olivia Munn,Nadine Velazquez,Bruce McGill
Vantage Point,72266306.0,72266306,0,6.6,2008.0,Dennis Quaid,Edgar Ramírez,William Hurt
"I Love You, Man",71347010.0,71440011,0,7.1,2009.0,J.K. Simmons,Jon Favreau,Jane Curtin
17 Again,64149837.0,64167069,0,6.4,2009.0,Matthew Perry,Hunter Parrish,Thomas Lennon
The Other Woman,83906114.0,25423,16000,6.0,2014.0,Don Johnson,Kate Upton,David Thornton
The Final Destination,66466372.0,66477700,0,5.2,2009.0,Krista Allen,Andrew Fiscella,Shantel VanSanten
Bridge of Spies,72306065.0,72313754,55000,7.6,2015.0,Tom Hanks,Mark Rylance,Amy Ryan
Get Him to the Greek,60923325.0,60974475,12000,6.4,2010.0,Pink,Mario Lopez,Lino Facioli
The Lincoln Lawyer,57981889.0,58009200,25000,7.3,2011.0,Matthew McConaughey,Margarita Levieva,Frances Fisher
Unknown,61094903.0,63686397,29000,6.9,2011.0,Liam Neeson,Frank Langella,Aidan Quinn
Unknown,61094903.0,63686397,29000,6.9,2011.0,Liam Neeson,Frank Langella,Aidan Quinn
Horrible Bosses 2,54414716.0,54445357,12000,6.3,2014.0,Kevin Spacey,Christoph Waltz,Lindsay Sloane
Predators,52000688.0,52000688,17000,6.4,2010.0,Topher Grace,Alice Braga,Derek Mears
The Odd Life of Timothy Green,51853450.0,51854875,11000,6.6,2012.0,Jennifer Garner,Odeya Rush,Common
Made of Honor,46012734.0,46012734,3000,5.8,2008.0,Busy Philipps,Beau Garrett,Kevin Sussman
Jersey Boys,47034272.0,47047013,16000,6.9,2014.0,Johnny Cannizzaro,Steve Schirripa,Scott Vance
Paul,37371385.0,37412945,42000,7.0,2011.0,Bobby Lee,Nelson Ascencio,Jeremy Owen
The Guilt Trip,37101011.0,37134215,0,5.8,2012.0,Miriam Margolyes,Tom Virtue,Julene Renee
Scream 4,38176892.0,38180928,26000,6.2,2011.0,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech
Sex Tape,38543473.0,38543473,0,5.1,2014.0,James Wilcox,Randall Park,Nat Faxon
Final Destination 5,42575718.0,42587643,20000,5.9,2011.0,Emma Bell,Jacqueline MacInnes Wood,Courtney B. Vance
Drillbit Taylor,32853640.0,32862104,702,5.7,2008.0,Lisa Ann Walter,Shaun Weiss,Matt Walsh
A Million Ways to Die in the West,42615685.0,43139300,24000,6.1,2014.0,Liam Neeson,Charlize Theron,Seth MacFarlane
Extremely Loud & Incredibly Close,31836745.0,31847881,39000,6.9,2011.0,Tom Hanks,Thomas Horn,Stephen Henderson
Morning Glory,30993544.0,31011732,0,6.5,2010.0,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga
The Other Boleyn Girl,26814957.0,26814957,0,6.7,2008.0,Natalie Portman,Scarlett Johansson,Benedict Cumberbatch
