"","X.2","X.1","X","year_of_birth","height","weight","scars","colour","year_of_discovery","number_of_lost_teeth","life_length","Life"
"330",330,330,330,"20 BC",44.11,13.05,8,"red",1716,24,1418,"P.N.E."
"331",331,331,331,"1714",34.91,10.73,17,"red",1716,10,1450,"N.E."
"332",332,332,332,"1211 BC",44.04,12.25,7,"red",1716,2,923,"P.N.E."
"333",333,333,333,"876 BC",39.26,11.17,3,"red",1716,37,1464,"P.N.E."
"334",334,334,334,"682",37.32,10.64,3,"green",1716,9,835,"N.E."
"335",335,335,335,"1466",37.11,10.78,5,"red",1716,34,1372,"N.E."
"336",336,336,336,"501",42.17,11.89,2,"red",1716,7,712,"N.E."
"337",337,337,337,"216",44.62,13.56,1,"red",1716,33,1312,"N.E."
"338",338,338,338,"1504",43.05,12.15,20,"red",1716,4,1489,"N.E."
"339",339,339,339,"1691 BC",61.28,16.9,56,"blue",1716,15,3106,"P.N.E."
"340",340,340,340,"732",56.42,15.49,12,"red",1716,6,1097,"N.E."
"341",341,341,341,"1983 BC",50.63,15.86,0,"red",1716,36,1294,"P.N.E."
"342",342,342,342,"1444",35.26,10.22,1,"green",1716,14,864,"N.E."
"343",343,343,343,"1804 BC",51.21,14.54,2,"red",1716,35,1399,"P.N.E."
"344",344,344,344,"1688",35.36,13.4,5,"blue",1716,3,884,"N.E."
"345",345,345,345,"229 BC",55.68,15.35,12,"red",1717,15,1380,"P.N.E."
"346",346,346,346,"763",43.29,11.91,1,"red",1717,0,566,"N.E."
"347",347,347,347,"1719",50.57,15.48,9,"green",1717,15,1255,"N.E."
"348",348,348,348,"76",49.32,14.09,2,"blue",1717,9,888,"N.E."
"349",349,349,349,"1556 BC",32.89,9.39,10,"red",1717,3,1051,"P.N.E."
"350",350,350,350,"567",42.89,13.42,8,"red",1717,8,995,"N.E."
"351",351,351,351,"381",40.36,11.08,1,"green",1717,16,986,"N.E."
"352",352,352,352,"94",47.95,15.23,0,"red",1717,30,1217,"N.E."
"353",353,353,353,"1632 BC",42.99,12.55,16,"green",1717,7,1378,"P.N.E."
"354",354,354,354,"400 BC",57.3,16.68,3,"red",1717,4,800,"P.N.E."
"355",355,355,355,"515 BC",41.04,12.2,4,"blue",1717,12,1006,"P.N.E."
"356",356,356,356,"1092",46.36,12.91,6,"blue",1717,12,1009,"N.E."
"357",357,357,357,"1804 BC",43.47,13,13,"green",1717,30,1690,"P.N.E."
"358",358,358,358,"1440 BC",55.99,15.69,4,"red",1717,3,827,"P.N.E."
"359",359,359,359,"814 BC",43.05,11.97,7,"black",1717,37,1630,"P.N.E."
"360",360,360,360,"1399 BC",41.27,12.85,4,"red",1717,21,1231,"P.N.E."
"361",361,361,361,"516 BC",38.74,11.07,2,"green",1717,26,1213,"P.N.E."
"362",362,362,362,"1521",44.28,13.31,53,"red",1717,23,3200,"N.E."
"363",363,363,363,"1031 BC",50.34,13.88,4,"red",1718,2,799,"P.N.E."
"364",364,364,364,"1401 BC",44.76,12.66,4,"blue",1718,20,1178,"P.N.E."
"365",365,365,365,"51",47.68,13.17,2,"blue",1718,7,790,"N.E."
"366",366,366,366,"411 BC",47.01,13.61,1,"blue",1718,5,752,"P.N.E."
"367",367,367,367,"1616",46.78,13.09,1,"blue",1718,17,1003,"N.E."
"368",368,368,368,"1389 BC",44.75,12.53,10,"blue",1718,4,1078,"P.N.E."
"369",369,369,369,"357",41.1,12.23,3,"red",1718,8,892,"N.E."
"370",370,370,370,"182 BC",54.42,15.54,12,"blue",1718,17,1423,"P.N.E."
"371",371,371,371,"907 BC",46.2,12.75,11,"red",1718,40,1822,"P.N.E."
"372",372,372,372,"1426 BC",33.58,10.99,1,"red",1718,26,1163,"P.N.E."
"373",373,373,373,"776 BC",40.59,11.25,1,"blue",1718,29,1251,"P.N.E."
"374",374,374,374,"1492 BC",51.21,15.24,5,"red",1718,23,1288,"P.N.E."
"375",375,375,375,"920",43.57,15.47,3,"blue",1718,18,982,"N.E."
"376",376,376,376,"1353 BC",48.55,16.14,5,"blue",1718,3,868,"P.N.E."
"377",377,377,377,"1236",39.93,12.86,13,"red",1718,10,1236,"N.E."
"378",378,378,378,"1626",37.97,10.39,15,"red",1718,38,1950,"N.E."
"379",379,379,379,"174 BC",49.75,14.95,4,"blue",1718,34,1463,"P.N.E."
"380",380,380,380,"200 BC",41.39,13.5,4,"red",1718,30,1330,"P.N.E."
"381",381,381,381,"1333 BC",44.38,12.83,1,"red",1718,1,625,"P.N.E."
"382",382,382,382,"88 BC",54.98,15.9,7,"blue",1718,4,953,"P.N.E."
"383",383,383,383,"230",47.14,13.12,0,"green",1718,11,837,"N.E."
"384",384,384,384,"28",40.44,11.31,4,"red",1718,38,1551,"N.E."
"385",385,385,385,"645 BC",52.21,15.4,27,"green",1718,27,2212,"P.N.E."
"386",386,386,386,"1929 BC",55.47,16.31,3,"blue",1718,22,1169,"P.N.E."
"387",387,387,387,"1410 BC",43.72,13.28,14,"green",1718,11,1376,"P.N.E."
"388",388,388,388,"1082",57.58,17.11,7,"red",1719,26,1274,"N.E."
"389",389,389,389,"675",46.21,15.16,0,"green",1719,19,886,"N.E."
"390",390,390,390,"1054",46.71,14.1,6,"blue",1719,20,1139,"N.E."
"391",391,391,391,"524 BC",44.41,13.88,5,"red",1719,18,1146,"P.N.E."
"392",392,392,392,"1951 BC",46.07,13.72,14,"red",1719,22,1577,"P.N.E."
"393",393,393,393,"1017 BC",50.59,14.9,5,"green",1719,21,1203,"P.N.E."
"394",394,394,394,"1688 BC",55.43,15.57,27,"red",1719,35,2378,"P.N.E."
"395",395,395,395,"566 BC",60.55,18.81,0,"blue",1719,5,674,"P.N.E."
"396",396,396,396,"342",56.6,15.74,0,"blue",1719,39,1380,"N.E."
"397",397,397,397,"645 BC",45.58,13.67,6,"red",1719,1,885,"P.N.E."
"398",398,398,398,"1780 BC",49.37,13.61,16,"red",1719,34,1947,"P.N.E."
"399",399,399,399,"1161",43.64,14.06,4,"green",1719,23,1134,"N.E."
"400",400,400,400,"1065",46.7,14.77,10,"red",1719,7,1030,"N.E."
"401",401,401,401,"1612",42.19,12.18,0,"red",1719,39,1340,"N.E."
"402",402,402,402,"1087 BC",39.74,11.35,6,"red",1719,8,1007,"P.N.E."
"403",403,403,403,"1881 BC",34.99,10.31,4,"blue",1719,17,1087,"P.N.E."
"404",404,404,404,"68 BC",43.39,12.33,3,"green",1719,32,1343,"P.N.E."
"405",405,405,405,"1226 BC",47.43,13.06,1,"blue",1719,27,1192,"P.N.E."
"406",406,406,406,"1969 BC",38.95,12.27,5,"red",1719,9,972,"P.N.E."
"407",407,407,407,"1022",49.72,14.4,1,"red",1719,6,680,"N.E."
"408",408,408,408,"1174 BC",43.9,12.85,3,"red",1719,35,1448,"P.N.E."
"409",409,409,409,"147 BC",39.35,11.35,3,"blue",1719,12,990,"P.N.E."
"410",410,410,410,"1662 BC",47.09,13.71,5,"red",1719,23,1249,"P.N.E."
"411",411,411,411,"182",46.06,13.07,10,"blue",1719,33,1680,"N.E."
"412",412,412,412,"20",42.88,13.96,15,"blue",1720,23,1674,"N.E."
"413",413,413,413,"363 BC",40.17,11.19,20,"green",1720,23,1877,"P.N.E."
"414",414,414,414,"873",41.56,13.42,5,"red",1720,12,969,"N.E."
"415",415,415,415,"922 BC",46.16,13.03,5,"red",1720,19,1218,"P.N.E."
"416",416,416,416,"1780 BC",43.09,13.33,35,"red",1720,32,2606,"P.N.E."
"417",417,417,417,"1066 BC",44.52,12.17,6,"red",1720,12,1102,"P.N.E."
"418",418,418,418,"897",46.83,13.82,46,"blue",1720,9,2500,"N.E."
"419",419,419,419,"812 BC",57.49,18.3,4,"red",1720,38,1520,"P.N.E."
"420",420,420,420,"622",48.87,19.75,2,"green",1720,20,1003,"N.E."
"421",421,421,421,"1879 BC",49.29,14.86,51,"red",1720,17,2975,"P.N.E."
"422",422,422,422,"1243 BC",39.33,11.54,4,"black",1720,34,1443,"P.N.E."
"423",423,423,423,"1900 BC",44.14,12.62,1,"red",1720,38,1402,"P.N.E."
"424",424,424,424,"1661",52.52,15.08,10,"red",1720,23,1436,"N.E."
"425",425,425,425,"1474",40.09,11.22,8,"green",1720,16,1131,"N.E."
"426",426,426,426,"349 BC",46.09,13.36,1,"red",1720,29,1229,"P.N.E."
"427",427,427,427,"1223 BC",48.72,15.4,11,"red",1720,12,1283,"P.N.E."
"428",428,428,428,"694",48.9,13.86,10,"green",1720,7,1053,"N.E."
"429",429,429,429,"733",39.15,11.43,18,"blue",1720,3,1284,"N.E."
"430",430,430,430,"1219",53.92,15.35,11,"red",1720,21,1386,"N.E."
"431",431,431,431,"1564",46.75,12.89,20,"red",1721,16,1706,"N.E."
"432",432,432,432,"1108 BC",45.47,13.94,13,"blue",1721,10,1303,"P.N.E."
"433",433,433,433,"975 BC",39.93,11.75,1,"green",1721,29,1219,"P.N.E."
"434",434,434,434,"494",43.7,13.18,21,"red",1721,27,1951,"N.E."
"435",435,435,435,"29 BC",42.88,12.4,11,"red",1721,5,1145,"P.N.E."
"436",436,436,436,"1764 BC",55.38,15.7,15,"red",1721,8,1353,"P.N.E."
"437",437,437,437,"1518 BC",47.48,13.89,16,"green",1721,8,1411,"P.N.E."
"438",438,438,438,"1147",40.55,11.16,0,"blue",1721,9,693,"N.E."
"439",439,439,439,"703 BC",47.5,13.23,1,"red",1721,18,991,"P.N.E."
"440",440,440,440,"1587",43.35,12.93,2,"red",1721,3,737,"N.E."
"441",441,441,441,"1709 BC",52.93,14.56,17,"red",1721,10,1471,"P.N.E."
"442",442,442,442,"1310",57.98,16.18,32,"red",1721,14,2069,"N.E."
"443",443,443,443,"1932 BC",54.05,16.92,2,"red",1721,37,1422,"P.N.E."
"444",444,444,444,"1081 BC",43.06,12.3,8,"red",1721,38,1713,"P.N.E."
"445",445,445,445,"721 BC",38.56,11.7,20,"blue",1721,39,2183,"P.N.E."
"446",446,446,446,"112",40.63,11.18,6,"blue",1721,20,1220,"N.E."
"447",447,447,447,"492",46.56,14.66,1,"red",1721,6,759,"N.E."
"448",448,448,448,"593 BC",52.1,14.59,39,"blue",1721,15,2493,"P.N.E."
"449",449,449,449,"577",39.21,12.32,13,"blue",1721,15,1331,"N.E."
"450",450,450,450,"1640 BC",42.68,11.75,3,"red",1721,3,762,"P.N.E."
"451",451,451,451,"1760 BC",46.16,13.32,1,"red",1721,25,1135,"P.N.E."
"452",452,452,452,"285 BC",39.12,11.83,22,"red",1721,25,1958,"P.N.E."
"453",453,453,453,"1599 BC",40.88,11.27,2,"blue",1721,25,1160,"P.N.E."
"454",454,454,454,"875",65.48,18.05,6,"blue",1721,11,959,"N.E."
"455",455,455,455,"713 BC",44.82,14.37,2,"red",1721,29,1269,"P.N.E."
"456",456,456,456,"848",56,16.44,18,"red",1721,1,1279,"N.E."
"457",457,457,457,"445",51.31,14.38,3,"red",1722,2,761,"N.E."
"458",458,458,458,"1182",55.68,15.8,9,"blue",1722,12,1091,"N.E."
"459",459,459,459,"706 BC",40.01,13.02,4,"blue",1722,38,1538,"P.N.E."
"460",460,460,460,"1472 BC",41.71,11.61,3,"green",1722,40,1493,"P.N.E."
"461",461,461,461,"1644",45.14,14.55,11,"red",1722,18,1421,"N.E."
"462",462,462,462,"1990 BC",44.27,13.5,15,"green",1722,9,1339,"P.N.E."
"463",463,463,463,"263 BC",44.36,12.45,6,"red",1722,12,1090,"P.N.E."
"464",464,464,464,"765",40.06,11.89,6,"blue",1722,9,945,"N.E."
"465",465,465,465,"766",42.54,12.15,13,"green",1722,19,1431,"N.E."
"466",466,466,466,"537 BC",38.76,11.18,19,"red",1722,13,1663,"P.N.E."
"467",467,467,467,"1631 BC",48.81,13.64,50,"blue",1722,29,3187,"P.N.E."
"468",468,468,468,"359",41.82,13.65,13,"blue",1722,20,1520,"N.E."
"469",469,469,469,"1679 BC",41.44,12.17,11,"green",1722,39,1809,"P.N.E."
"470",470,470,470,"1665",44.66,13.32,2,"blue",1722,19,1035,"N.E."
"471",471,471,471,"1646",47.17,14.4,13,"red",1722,4,1203,"N.E."
"472",472,472,472,"1723",42.2,11.59,1,"blue",1722,31,1260,"N.E."
"473",473,473,473,"2",53.21,14.6,8,"blue",1722,4,980,"N.E."
"474",474,474,474,"1825 BC",50.33,15.23,20,"red",1722,31,2015,"P.N.E."
"475",475,475,475,"1421",42.9,11.78,3,"blue",1722,33,1279,"N.E."
"476",476,476,476,"774 BC",48.19,13.42,2,"red",1723,33,1330,"P.N.E."
"477",477,477,477,"450 BC",41.27,11.52,35,"blue",1723,17,2336,"P.N.E."
"478",478,478,478,"1788",60.47,16.79,0,"red",1723,30,1181,"N.E."
"479",479,479,479,"1468",44.34,12.34,10,"red",1723,26,1453,"N.E."
"480",480,480,480,"897 BC",48.76,14.8,3,"black",1723,27,1288,"P.N.E."
"481",481,481,481,"643",53.01,15.57,30,"green",1723,4,1752,"N.E."
"482",482,482,482,"1843 BC",30.82,8.67,2,"blue",1723,8,872,"P.N.E."
"483",483,483,483,"724",48.75,14.21,39,"blue",1723,26,2561,"N.E."
"484",484,484,484,"898",40.12,12.22,7,"red",1723,38,1545,"N.E."
"485",485,485,485,"1393 BC",45.72,13.39,1,"red",1723,25,1127,"P.N.E."
"486",486,486,486,"1514",43.37,12.76,10,"red",1723,20,1404,"N.E."
"487",487,487,487,"1086",49.71,14.31,17,"green",1723,30,1732,"N.E."
"488",488,488,488,"938",35.27,10.34,12,"red",1723,28,1554,"N.E."
"489",489,489,489,"656 BC",45.2,12.56,5,"blue",1723,40,1584,"P.N.E."
"490",490,490,490,"1527 BC",38.94,10.95,22,"red",1723,35,2180,"P.N.E."
"491",491,491,491,"1374",44.95,12.44,13,"red",1723,27,1536,"N.E."
"492",492,492,492,"1242",49.36,14.76,2,"blue",1723,13,831,"N.E."
"493",493,493,493,"1209",42.09,11.93,2,"red",1723,20,982,"N.E."
"494",494,494,494,"701 BC",52.35,14.45,1,"green",1723,14,929,"P.N.E."
"495",495,495,495,"930 BC",53.51,16.42,3,"red",1723,24,1231,"P.N.E."
"496",496,496,496,"1529 BC",39.06,15.31,24,"blue",1723,12,1840,"P.N.E."
"497",497,497,497,"790",50.64,17.38,4,"red",1723,36,1344,"N.E."
"498",498,498,498,"964",55.43,15.33,0,"blue",1723,17,875,"N.E."
"499",499,499,499,"1501",47.56,13.52,24,"red",1723,37,2333,"N.E."
"500",500,500,500,"1759 BC",46.69,15.33,6,"green",1723,33,1497,"P.N.E."
"501",501,501,501,"1467 BC",45.68,14.04,4,"red",1724,25,1250,"P.N.E."
"502",502,502,502,"1479 BC",61.98,19.33,5,"red",1724,15,1115,"P.N.E."
"503",503,503,503,"704",46.1,14.33,2,"red",1724,21,1015,"N.E."
"504",504,504,504,"1314 BC",46.22,13.66,12,"red",1724,21,1461,"P.N.E."
"505",505,505,505,"1664 BC",42.08,11.84,4,"red",1724,0,755,"P.N.E."
"506",506,506,506,"1190 BC",47.74,14.5,1,"green",1724,25,1105,"P.N.E."
"507",507,507,507,"1095 BC",45.91,13.19,0,"blue",1724,8,743,"P.N.E."
"508",508,508,508,"1716 BC",39.07,14.17,0,"red",1724,5,722,"P.N.E."
"509",509,509,509,"254",48.06,15.18,22,"red",1724,18,1855,"N.E."
"510",510,510,510,"356 BC",49.52,13.77,5,"green",1725,19,1197,"P.N.E."
"511",511,511,511,"639",41.22,12.81,1,"red",1725,21,970,"N.E."
"512",512,512,512,"1477",41.31,11.33,13,"blue",1725,14,1295,"N.E."
"513",513,513,513,"1274 BC",46.08,13.59,4,"red",1725,24,1239,"P.N.E."
"514",514,514,514,"642 BC",46.29,13.19,5,"red",1725,27,1304,"P.N.E."
"515",515,515,515,"943 BC",47.62,13.97,29,"black",1725,39,2561,"P.N.E."
"516",516,516,516,"241 BC",43.75,13.57,10,"red",1725,34,1669,"P.N.E."
"517",517,517,517,"1204",42.38,11.76,4,"red",1725,7,830,"N.E."
"518",518,518,518,"814 BC",37.89,10.42,5,"red",1725,26,1298,"P.N.E."
"519",519,519,519,"855",36.33,10.3,2,"red",1725,16,912,"N.E."
"520",520,520,520,"1129 BC",42.02,12.41,1,"blue",1725,31,1263,"P.N.E."
"521",521,521,521,"503",64.07,17.93,0,"red",1725,25,1028,"N.E."
"522",522,522,522,"1456 BC",41.85,11.54,11,"red",1725,33,1698,"P.N.E."
"523",523,523,523,"155",58.02,15.97,9,"green",1725,13,1229,"N.E."
"524",524,524,524,"391 BC",44.54,12.5,28,"red",1725,34,2420,"P.N.E."
"525",525,525,525,"273",38.51,11.07,3,"red",1725,39,1523,"N.E."
"526",526,526,526,"258 BC",47.03,15.09,0,"green",1725,14,870,"P.N.E."
"527",527,527,527,"5 BC",52.33,15.29,3,"green",1725,25,1222,"P.N.E."
"528",528,528,528,"141",35.75,10.05,24,"blue",1725,17,1886,"N.E."
"529",529,529,529,"300 BC",47.8,13.19,0,"red",1725,1,607,"P.N.E."
"530",530,530,530,"1080",43.47,12.58,5,"red",1726,3,731,"N.E."
"531",531,531,531,"1603 BC",55.12,15.35,1,"blue",1726,11,831,"P.N.E."
"532",532,532,532,"52",41.07,11.52,5,"red",1726,1,806,"N.E."
"533",533,533,533,"1186 BC",36.73,10.5,3,"red",1726,10,930,"P.N.E."
"534",534,534,534,"1203",45.53,13.68,47,"red",1726,16,2706,"N.E."
"535",535,535,535,"27 BC",55.69,15.83,17,"blue",1726,35,1957,"P.N.E."
"536",536,536,536,"1515 BC",37.27,11.06,1,"red",1726,16,953,"P.N.E."
"537",537,537,537,"550 BC",33.6,9.38,1,"blue",1726,16,937,"P.N.E."
"538",538,538,538,"1236",44.41,14.27,0,"green",1726,16,810,"N.E."
"539",539,539,539,"1298 BC",39.61,11.08,5,"green",1726,15,1136,"P.N.E."
"540",540,540,540,"883",41.95,14.97,8,"green",1726,33,1488,"N.E."
"541",541,541,541,"900 BC",48.1,13.99,2,"green",1726,7,817,"P.N.E."
"542",542,542,542,"204 BC",42.03,12.51,14,"blue",1726,37,1898,"P.N.E."
"543",543,543,543,"323",56.44,16.05,1,"green",1727,32,1300,"N.E."
"544",544,544,544,"396 BC",47.05,12.9,9,"blue",1727,24,1408,"P.N.E."
"545",545,545,545,"969 BC",47.67,14.94,3,"red",1727,40,1545,"P.N.E."
"546",546,546,546,"1683 BC",56.83,18.84,9,"blue",1727,36,1704,"P.N.E."
"547",547,547,547,"1089",49.8,13.63,1,"green",1727,30,1129,"N.E."
"548",548,548,548,"390",50.38,17.53,1,"red",1727,25,1122,"N.E."
"549",549,549,549,"155",41.87,11.55,2,"red",1727,9,906,"N.E."
"550",550,550,550,"551 BC",40.16,12.04,9,"red",1727,21,1379,"P.N.E."
"551",551,551,551,"1220",43.02,12.13,3,"green",1727,17,958,"N.E."
"552",552,552,552,"1749",36.01,10.55,22,"blue",1727,11,1710,"N.E."
"553",553,553,553,"198 BC",46.88,13.03,16,"red",1727,29,1798,"P.N.E."
"554",554,554,554,"1067 BC",50.02,14.15,14,"green",1727,35,1851,"P.N.E."
"555",555,555,555,"61 BC",48.03,14.07,4,"red",1727,36,1486,"P.N.E."
"556",556,556,556,"889 BC",43.98,12.06,3,"green",1727,36,1470,"P.N.E."
"557",557,557,557,"1693 BC",40.17,13.18,10,"red",1727,25,1505,"P.N.E."
"558",558,558,558,"1504 BC",44.29,13.08,3,"red",1727,25,1211,"P.N.E."
"559",559,559,559,"1364 BC",44.32,12.86,1,"red",1727,36,1330,"P.N.E."
"560",560,560,560,"468",47.04,12.98,1,"blue",1728,38,1435,"N.E."
"561",561,561,561,"1491 BC",43.53,12.18,1,"blue",1728,10,845,"P.N.E."
"562",562,562,562,"395",40.88,12.46,16,"red",1728,12,1465,"N.E."
"563",563,563,563,"608 BC",55.05,15.21,12,"green",1728,26,1573,"P.N.E."
"564",564,564,564,"1922 BC",59.32,16.38,1,"green",1728,16,985,"P.N.E."
"565",565,565,565,"517 BC",52.36,14.43,28,"red",1728,13,1977,"P.N.E."
"566",566,566,566,"82 BC",56.79,17.55,45,"blue",1728,38,3178,"P.N.E."
"567",567,567,567,"317 BC",43.79,12.48,3,"green",1728,19,1083,"P.N.E."
"568",568,568,568,"1281",57.27,16.9,0,"red",1728,26,999,"N.E."
"569",569,569,569,"1324",48.78,13.52,0,"red",1728,10,688,"N.E."
"570",570,570,570,"1602 BC",54.42,16.23,4,"green",1728,0,768,"P.N.E."
"571",571,571,571,"823 BC",35.49,13.94,7,"green",1729,39,1685,"P.N.E."
"572",572,572,572,"1582",49.93,15.25,24,"green",1729,17,1934,"N.E."
"573",573,573,573,"1311",53.91,15.43,5,"green",1729,26,1248,"N.E."
"574",574,574,574,"1437 BC",49.09,15.47,14,"blue",1729,3,1222,"P.N.E."
"575",575,575,575,"30 BC",48.72,14.47,23,"red",1729,40,2369,"P.N.E."
"576",576,576,576,"1112",34.67,10.58,23,"red",1729,3,1496,"N.E."
"577",577,577,577,"902 BC",46.37,12.79,3,"blue",1729,13,982,"P.N.E."
"578",578,578,578,"1201 BC",35.14,10.56,13,"blue",1729,22,1569,"P.N.E."
"579",579,579,579,"729 BC",46.26,15.81,0,"red",1729,7,756,"P.N.E."
"580",580,580,580,"283 BC",45.29,12.73,2,"red",1729,34,1377,"P.N.E."
"581",581,581,581,"287 BC",49.05,14.94,3,"blue",1729,32,1340,"P.N.E."
"582",582,582,582,"1984 BC",53.52,16.08,21,"blue",1729,28,2017,"P.N.E."
"583",583,583,583,"627 BC",48.85,15.12,2,"red",1729,23,1130,"P.N.E."
"584",584,584,584,"729 BC",56.49,15.95,22,"red",1729,11,1712,"P.N.E."
"585",585,585,585,"1426",44.63,14.44,2,"blue",1729,1,602,"N.E."
"586",586,586,586,"796",37.49,10.72,6,"red",1729,34,1384,"N.E."
"587",587,587,587,"1348",53.55,15.83,14,"green",1729,23,1517,"N.E."
"588",588,588,588,"86",44.39,12.31,3,"red",1729,27,1251,"N.E."
"589",589,589,589,"661 BC",40.47,11.38,5,"red",1729,35,1508,"P.N.E."
"590",590,590,590,"1472 BC",40.23,11.73,2,"red",1729,25,1142,"P.N.E."
"591",591,591,591,"1554 BC",39.84,11.16,1,"blue",1729,18,1005,"P.N.E."
"592",592,592,592,"1313 BC",49.93,14.33,3,"blue",1729,7,830,"P.N.E."
"593",593,593,593,"912",38.84,12.01,6,"green",1729,11,961,"N.E."
"594",594,594,594,"615 BC",50.04,14.13,27,"red",1729,32,2322,"P.N.E."
"595",595,595,595,"58",49.55,14.98,1,"green",1729,35,1360,"N.E."
"596",596,596,596,"1858 BC",51.39,15.94,4,"red",1729,4,845,"P.N.E."
"597",597,597,597,"1235",45.83,14.97,8,"red",1729,9,1020,"N.E."
"598",598,598,598,"1640",42.5,11.85,9,"red",1729,20,1345,"N.E."
"599",599,599,599,"351",51.28,14.52,48,"red",1729,22,2995,"N.E."
"600",600,600,600,"1135",45.36,12.84,8,"red",1729,26,1360,"N.E."
"601",601,601,601,"399",51.66,15.77,5,"red",1730,28,1390,"N.E."
"602",602,602,602,"556",49.41,13.84,2,"red",1730,15,866,"N.E."
"603",603,603,603,"1135 BC",48.14,13.46,21,"red",1730,17,1776,"P.N.E."
"604",604,604,604,"304",43.93,13.07,0,"red",1730,4,676,"N.E."
"605",605,605,605,"861",48.71,14.34,13,"red",1730,20,1441,"N.E."
"606",606,606,606,"1674 BC",48.74,13.62,5,"red",1730,9,994,"P.N.E."
"607",607,607,607,"175",32.79,10.43,5,"red",1730,14,1071,"N.E."
"608",608,608,608,"259",44.44,12.8,25,"red",1730,11,1828,"N.E."
"609",609,609,609,"446 BC",56.91,15.88,6,"red",1730,24,1299,"P.N.E."
"610",610,610,610,"63 BC",51.38,14.14,15,"blue",1730,20,1600,"P.N.E."
"611",611,611,611,"727",43.35,12.02,3,"green",1730,21,1021,"N.E."
"612",612,612,612,"853 BC",39.99,12.76,20,"blue",1730,28,1948,"P.N.E."
"613",613,613,613,"26",55.48,21.07,17,"red",1730,8,1424,"N.E."
"614",614,614,614,"1403",52.09,14.82,3,"red",1730,25,1096,"N.E."
"615",615,615,615,"596 BC",54.61,17.19,23,"blue",1730,2,1551,"P.N.E."
"616",616,616,616,"77 BC",51.06,14.74,19,"red",1730,18,1747,"P.N.E."
"617",617,617,617,"565",40.12,10.98,8,"green",1730,38,1609,"N.E."
"618",618,618,618,"1712 BC",45.37,13.19,22,"green",1730,21,1898,"P.N.E."
"619",619,619,619,"1502",42.54,11.87,18,"blue",1730,40,2083,"N.E."
"620",620,620,620,"829",47.05,13.55,13,"blue",1730,20,1410,"N.E."
"621",621,621,621,"1149",49.32,13.53,1,"green",1730,24,1050,"N.E."
"622",622,622,622,"731",53.92,15.65,10,"red",1730,0,914,"N.E."
"623",623,623,623,"461 BC",43.99,13.75,5,"red",1730,8,958,"P.N.E."
"624",624,624,624,"1766 BC",49.21,13.6,3,"blue",1730,28,1267,"P.N.E."
"625",625,625,625,"157 BC",44.52,12.92,10,"green",1731,20,1386,"P.N.E."
"626",626,626,626,"1524 BC",45.16,13.46,0,"green",1731,9,743,"P.N.E."
"627",627,627,627,"231 BC",37.31,10.4,5,"red",1731,21,1210,"P.N.E."
"628",628,628,628,"515 BC",48.32,13.44,25,"black",1731,14,1851,"P.N.E."
"629",629,629,629,"562",39.52,10.81,13,"red",1731,28,1545,"N.E."
"630",630,630,630,"1444 BC",49.83,14.2,24,"red",1731,14,1848,"P.N.E."
"631",631,631,631,"264 BC",52.1,15.72,2,"red",1731,36,1460,"P.N.E."
"632",632,632,632,"1326 BC",36.37,10.35,10,"red",1731,33,1639,"P.N.E."
"633",633,633,633,"29",46.06,14.27,17,"red",1731,20,1697,"N.E."
"634",634,634,634,"113 BC",58.07,18.08,17,"red",1731,24,1743,"P.N.E."
"635",635,635,635,"1358",39.84,13.07,4,"red",1731,21,1091,"N.E."
"636",636,636,636,"425",49.51,14.41,2,"green",1731,1,711,"N.E."
"637",637,637,637,"1004",54.04,16.27,12,"red",1731,26,1496,"N.E."
"638",638,638,638,"370",49.26,14.65,7,"blue",1731,27,1412,"N.E."
"639",639,639,639,"739",37.5,10.43,3,"red",1731,4,730,"N.E."
"640",640,640,640,"1216 BC",36.52,10.19,23,"red",1732,23,1999,"P.N.E."
"641",641,641,641,"1387 BC",45.94,12.77,1,"green",1732,22,1058,"P.N.E."
"642",642,642,642,"9",43.88,13.55,21,"red",1732,5,1554,"N.E."
"643",643,643,643,"1173 BC",39.99,11.32,1,"green",1732,33,1282,"P.N.E."
"644",644,644,644,"517",62.43,22.29,12,"red",1732,0,988,"N.E."
"645",645,645,645,"1651 BC",42.55,12.25,2,"blue",1732,37,1463,"P.N.E."
"646",646,646,646,"786",44.62,12.25,0,"green",1732,6,622,"N.E."
"647",647,647,647,"1702 BC",27.98,9.16,15,"blue",1732,31,1791,"P.N.E."
"648",648,648,648,"652",40.19,11.01,4,"blue",1732,1,666,"N.E."
"649",649,649,649,"1097 BC",47.51,13.63,25,"green",1732,5,1681,"P.N.E."
"650",650,650,650,"1217 BC",52.23,14.46,55,"red",1732,39,3564,"P.N.E."
"651",651,651,651,"475 BC",51.95,14.7,7,"blue",1732,36,1640,"P.N.E."
"652",652,652,652,"323",44.96,12.53,4,"red",1733,23,1213,"N.E."
"653",653,653,653,"1035 BC",34.42,9.85,11,"green",1733,22,1445,"P.N.E."
"654",654,654,654,"1125 BC",45.04,14.85,27,"red",1733,1,1687,"P.N.E."
"655",655,655,655,"259",46.8,13.15,13,"blue",1733,15,1437,"N.E."
"656",656,656,656,"1529 BC",47.14,13.84,6,"red",1733,1,841,"P.N.E."
"657",657,657,657,"191",43.51,14.36,2,"green",1733,37,1429,"N.E."
"658",658,658,658,"1472",37.99,10.87,19,"red",1733,39,1983,"N.E."
