name,description,styleUrl,longitude,latitude,altitude,LineString/tessellate,LineString/coordinates
King's Cross,"St Saviour&#39;s. Fictitious church, site of planned wedding between Horner Angel and Mary Sutherland. Also the St Pancras Hotel.<br><br>The Adventure of a Case of Identity, p78",#icon-123,-0.121837,51.529171,0,,
"Westhouse & Marbank, Fenchurch Street","Wine importers employing Mary Sutherland&#39;s father.<br><br>The Adventure of a Case of Identity, p80.",#icon-123,-0.081797,51.511747,0,,
Paddington Station,"1. Holmes meets Watson here before heading to Boscombe Valley by train.<br>2. Mr Victor Hatherley takes a train out of Paddington to reach Eyford. Later H&amp;W do the same.<br>3. Holmes and Watson catch a train from here to King&#39;s Pyland, Dartmoor.<br>4. Watson departs from here to Dartmoor.<br><br>1. The Adventure of the Boscombe Valley mystery, p91.<br>2. The Adventure of the Engineer&#39;s Thumb, p.216.<br>3. Silver Blaze, p9.<br>4. The Hound of the Baskervilles, p69.",#icon-61,-0.175996,51.515914,0,,
Camberwell,"1. Torquay Terrace, Camberwell. Charpentier&#39;s Boarding Establishment. Fictitious lodgings of Drebber. <br>2. 31 Lyon Place, Camberwell. Fictitious address of Mary Sutherland and family. Exact location in Camberwell unknown.<br>3. Location of a poisoning case Holmes solved by deducing when the victim&#39;s watch had been wound. Location unknown.<br>4. Encrypted letter sent from Porlock to Holmes from Camberwell post office.<br>5. Miss Dobney, old governess of Lady Fairfax, lives here.<br><br>1. A Study in Scarlet.<br>2. The Adventure of a Case of Identity, p80.<br>3. The Adventure of the five orange pips, p118.<br>4. The Valley of Fear, p25.<br>5. The Disappearance of Lady Frances Carfax, p139.",#icon-123,-0.090637,51.47283,0,,
Waterloo Station,"1. Destination of John Openshaw when he is murdered by the KKK.<br>2. Helen Stoner arrives by train here; later Holmes and Watson catch a train to Leatherhead.<br>3. Holmes and Watson take a train to Aldershot from here.<br>4. H&amp;W catch an early train from here to Woking.<br>5. Station of arrival for Henry Baskerville.<br>6. Shipley&#39;s Yard is said to be near the station.<br>7. Watson catches a train from here to Farnham.<br><br>1. The Adventure of the Five Orange Pips, p129.<br>2. The Adventure of the Speckled Band, p. 190.<br>3. The Crooked Man, p141.<br>4. The Naval Treaty, p204.<br>5. The Hound of the Baskervilles, p39.<br>6. The Hound of the Baskervilles, p71.<br>7. The Adventure of the Solitary Cyclist, p94.",#icon-61,-0.11394,51.503053,0,,
"13 Duncan Street, Houndsditch","Fictitious address of Mrs Sawyer, claimant of missing gold ring.<br><br>A Study in Scarlet, Chapter 5, page 74",#icon-123,-0.078202,51.515179,0,,
Embankment,"Close to Waterloo Bridge, John Openshaw is thrown into the river by the KKK.<br><br>The Adventure of the Five Orange Pips, p135.",#icon-61,-0.116816,51.510131,0,,
Albert Dock,"1. Last mooring of the Lone Star ship.<br>2. Lestrade aprehends James Browner onboard the SS May Day.<br><br>1. The Adventure of the Five Orange Pips, p137.<br>2. The Adventure of the Cardboard Box, p59.",#icon-123,0.054331,51.505858,0,,
"The Bar of Gold, Upper Swandam Lane","Opium Den.<br><br>The Adventure of the Man With the Twisted Lip, p141.",#icon-123,-0.085058,51.50901,0,,
Cannon Street Station,Neville St Clair returns home to Lee every night by the 5.14 from Cannon Street.<br><br>The Adventure of the Man With the Twisted Lip.,#icon-61,-0.090315,51.511226,0,,
Fresno Street,"Location of the Aberdeen Shipping Company. &#39;Branches out of Upper Swandam Lane (both fictitious).<br><br>The Adventure of the Man With the Twisted Lip, p147",#icon-123,-0.083342,51.509891,0,,
Threadneedle Street,"1. Hang out of Hugh Boone, who begs at a &#39;small angle in the wall&#39; on Threadneedle Street.<br>2. Headquarters of Holder &amp; Stevenson, the second largest private banking firm in London.<br><br>1. The Adventure of the Man With the Twisted Lip, p149.<br>2. The Adventure of the Beryl Coronet, p.265.",#icon-123,-0.086453,51.514004,0,,
Lee,"1. The Cedars, Home of the St Clair family.<br>2. Popham House, Home of John Scott Eccles.<br><br>1. The Adventure of the Man With the Twisted Lip, p152.<br>2.The Adventure of Wisteria Lodge, p14.",#icon-123,0.012875,51.458446,0,,
Route of Holmes and Watson returning from Lee,"Waterloo Bridge Road, Wellington Street, Bow Street.<br><br>The Adventure of the Man With the Twisted Lip, p158.",#line-0000FF-5000,,,,1,"-0.1108,51.50273,0
          -0.11436,51.50564,0
          -0.11767,51.5093,0
          -0.11904,51.51098,0
          -0.11939,51.511467,0
          -0.119884,51.511881,0
          -0.120646,51.512141,0
          -0.12115,51.51266,0
          -0.12209,51.51334,0"
Corner of Goodge Street,"Where commissionaire Peterson acquires a goose and a hat after seeing a stranger attacked by mob.<br><br>The Adventure of the Blue Carbuncle, p.171.",#icon-61,-0.133896,51.519853,0,,
Alpha Inn,"Identified as near the Museum, on the corner of one of the roads leading down to Holborn. Henry Baker and the goose cub meet here.<br><br>The Adventure of the Blue Carbuncle, p. 176.",#icon-123,-0.125785,51.517142,0,,
"3 Mayfield Place, Peckham","Fictitious lodgings of Sally Dennis. No indication where in Peckham this might be.<br><br>A Study in Scarlet, Chapter 5, page 75.",#icon-123,-0.070596,51.471921,0,,
Route of Holmes and Watson en route to Alpha Inn,"The Adventure of the Blue Carbuncle, p.177.",#line-0000FF-5000,,,,1,"-0.149217,51.520309,0
          -0.148659,51.519081,0
          -0.147178,51.519375,0
          -0.145955,51.516851,0
          -0.142779,51.517345,0
          -0.142093,51.515275,0
          -0.137286,51.515823,0
          -0.133188,51.516277,0
          -0.12939,51.51649,0
          -0.125828,51.517091,0"
Route of Holmes and Watson from Alpha Inn to Covent Garden,"Described as along Endell Street.<br><br>The Adventure of the Blue Carbuncle, p. 177.",#line-0000FF-5000,,,,1,"-0.125935,51.517025,0
          -0.126386,51.516237,0
          -0.126128,51.515502,0
          -0.124798,51.514674,0
          -0.123446,51.513766,0
          -0.124261,51.513152,0
          -0.122931,51.512111,0"
Covent Garden Market,"Location of Breckinridge&#39;s meat stall, where geese are sold on to the goose club of Alpha Inn.<br><br>The Adventure of the Blue Carbuncle, p. 177.",#icon-61,-0.122824,51.512028,0,,
Brixton Road,"1. 3 Lauriston Gardens, off Brixton Road. Fictitious address where the body of Enoch Drebber is found. <br>2. 117: Address of Mrs Oakshott, poultry farmer, who supplies the goose in which the carbuncle is hidden.<br>3. Branch surgery and dispensary of Dr Barnicot is on lower Brixton Road.<br>4. H&amp;W ride down Brixton Road at 8pm on their way to Brixton.<br><br>1. A Study in Scarlet, p47<br>2. The Adventure of the Blue Carbuncle, 182.<br>3. The Adventure of the Six Napoleons, p186.<br>4. The Disappearance of Lady Frances Carfax, p156.",#icon-123,-0.112267,51.474327,0,,
Pentonville Prison,"Jail where James Ryder&#39;s friend Maudsley did time.<br><br>The Adventure of the Blue Carbuncle, p.184.",#icon-61,-0.11673,51.54484,0,,
Kilburn,"John Ryder&#39;s friend Maudsley lives here.<br><br>The Adventure of the Blue Carbuncle, p. 184.",#icon-123,-0.198269,51.539396,0,,
Harrow,"1. Honoria Westphail, aunt of Helen Stoner, lives here.<br>2. Three Gables is located in Harrow Weald.<br><br>1. The Adventure of the Speckled Band, p.193.<br>2. The Adventure of the Three Gables, p80.",#icon-123,-0.342808,51.58715,0,,
16A Victoria Street,"Address of Mr Victor Hatherley - he of the missing thumb.<br><br>The Adventure of the Engineer&#39;s Thumb, p.218.",#icon-123,-0.136943,51.497469,0,,
Greenwich,"Home of Venner &amp; Matherson engineering firm.<br><br>The Adventure of the Engineer&#39;s Thumb, p.220.",#icon-123,-0.008755,51.477106,0,,
Grosvenor Square,"1. Scene of an earlier case involving a furniture van.<br>2. Isadora Klein lives in one of the &#39;finest corner-houses of the West End&#39;.<br><br>1. The Adventure of the Noble Batchelor, p.241.<br>2. The Adventure of the Three Gables, p92",#icon-123,-0.151598,51.512121,0,,
Euston Station,"1. Last sighting of Enoch Drebber before murder. Seen with Joseph Strangerson.<br>2. H&amp;W catch a train from here to the Peak District.<br>3. Holmes travels to Tuxbury Old Place from here.<br><br>1. A Study in Scarlet, Chapter 6, page 79.<br>2. The Adventure of the Priory School, p116.<br>3. The Adventure of the Blanched Soldier, p51.",#icon-61,-0.133982,51.52813,0,,
St George's Hanover Square,"Location of marriage between Robert St Simon and Hatty Doran.<br><br>The Adventure of the Noble Batchelor, p.242.",#icon-61,-0.143166,51.513376,0,,
Lancaster Gate,"Wedding Breakfast at home of Aloysius Doran, from which Hatty runs away. Location uncertain, but the park is visible from window.<br><br>The Adventure of the Noble Batchelor, p.243",#icon-123,-0.181661,51.510966,0,,
Hyde Park,Where Hatty Doran is seen with Flora Miller.,#icon-123,-0.173464,51.508155,0,,
Serpentine,"Hatty Doran&#39;s wedding dress is found in the Serpentine, which Lestrade dredges for further clues to her whereabouts.<br><br>The Adventure of the Noble Batchelor, p. 252.",#icon-123,-0.166597,51.50551,0,,
Trafalgar Square,"1. Holmes sarcastically suggests that Lestrade should just as profitably dredge the Trafalgar Square fountains as the Serpentine in looking for Hatty Doran.<br>2. Cab picks up man posing as Holmes in Trafalgar Square.<br><br>1. The Adventure of the Noble Batchelor, p. 252.<br>2. The Hound of the Baskervilles, p72.",#icon-61,-0.12836,51.508028,0,,
226 Gordon Square,"Lodgings of Francis Moulton, Hatty Doran&#39;s true husband.<br><br>The Adventure of the Noble Batchelor, p. 258.",#icon-123,-0.13042,51.524339,0,,
Northumberland Avenue,"1. Location of expensive hotel frequented by Francis Moulton.<br>2. Mr Melas, the Greek Interpreter, makes his money by attending to &#39;Orientals&#39; staying in hotels on Northumberland Avenue.<br>3. H&amp;W visit a Turkish baths here on 3 September 1902.<br><br>1. The Adventure of the Noble Batchelor, p. 261.<br>2. The Greek Interpreter, p186.<br>3. The Adventure of the Illustrious Client, p11.",#icon-123,-0.124369,51.506806,0,,
Northumberland Hotel,"Where Sir Henry Baskerville stays. Now the Sherlock Holmes pub.<br><br>The Hound of the Baskervilles, p48.",#icon-61,-0.125334,51.507253,0,,
Sherlock Holmes Museum,221b Baker Street,#icon-111,-0.158336,51.523404,0,,
Sherlock Holmes statue,,#icon-111-nodesc,-0.156982,51.522431,0,,
129 Camberwell Road,"John Underwood and Sons, hatmakers.<br><br>A Study in Scarlet, Chapter 6, page 83.",#icon-61,-0.094113,51.481035,0,,
Baker Street Metropolitan Line,"Alexander Holder, the banker trusted with the beryl coronet, takes the underground to this station when coming to see Holmes.<br><br>The Adventure of the Beryl Coronet, p.265.<br><br>The station also contains many tiles displaying the detective&#39;s profile.",#icon-61,-0.157285,51.52267,0,,
Streatham,"The family home of the Holder family, from which the beryl coronet is stolen.<br><br>The Adventure of the Beryl Coronet, p.268.",#icon-123,-0.135355,51.427899,0,,
Montague Place,"Lodgings of Miss Violet Hunter before she takes appointment at Copper Beeches.<br><br>The Adventure of the Copper Beeches, p. 292.",#icon-123,-0.128875,51.519839,0,,
Bond Steet,"1. Address of Madame Lesurier, milliner.<br>2. H&amp;W spend some time in a Bond Street picture gallery.<br><br>1. Silver Blaze, p21.<br>2. The Hound of the Baskervilles, p61.",#icon-123,-0.143981,51.511814,0,,
Clapham Junction,"1. Passed through by Holmes &amp; Watson on their return from Dartmoor.<br>2. Mr Melas is instructed to head here for the last train to Victoria.<br>3. H&amp;W return from Woking by train. On passing Clapham Junction, Holmes remarks how he enjoys looking down on the houses.<br><br>1. Silver Blaze, p36.<br>2. The Greek Interpreter, p192.<br>3. The Naval Treaty, p216.",#icon-61,-0.17046,51.464756,0,,
Victoria,"1. Terminus for Holmes &amp; Watson, returning from Dartmoor (contrary to their outbound journey, which left from Paddington).<br>2. Mr Melas catches the last train here from Clapham Junction.<br>3. H&amp;W elude Moriarty by catching a train from here.<br>4. H&amp;W take a cab to Victoria when setting out for Birlstone.<br>5. H&amp;W catch the 2 O&#39;clock train to Lamberley.<br><br>1. Silver Blaze, p36.<br>2. The Greek Interpreter, p192. <br>3. The Final Problem, p245.<br>4. The Valley of Fear, p28.<br>5. The Adventure of the Sussex Vampire, p104.",#icon-61,-0.143938,51.496361,0,,
Pinner,Where Effie goes to live with her maiden aunt after returning from America.,#icon-123,-0.38229,51.593495,0,,
Norbury,"Home of Jack &amp; Effie.<br><br>The Yellow Face, p42.",#icon-123,-0.12394,51.412484,0,,
The Crystal Palace,"Jack takes a walk to here.<br><br>The Yellow Face, p46.",#icon-61,-0.073986,51.421557,0,,
Paddington (district),"Location of Watson&#39;s practice.<br><br>The Stockbroker&#39;s Clerk, p57.",#icon-123,-0.181532,51.514458,0,,
"Halliday's Private Hotel, Little George Street","Fictitious location of Joseph Stangerson&#39;s body. No indication where in Euston this is.<br><br>A Study in Scarlet, Chapter 7, page 91.",#icon-123,-0.135784,51.526715,0,,
Drapers Gardens,"Coxon and Woodhouse, workplace of Mr Hall Pycroft.<br><br>The Stockbroker&#39;s Clerk, p60.",#icon-123,-0.086818,51.515743,0,,
Lombard Street,"Location of Mawson and Williams, stockbrokers, with whom Hall Pycroft is offered a job. Later, a scene of attempted robbery.<br><br>The Stockbroker&#39;s Clerk, p61.",#icon-123,-0.086045,51.512135,0,,
Hampstead,"1. 17 Potters Terrace: fictitious address of Mr Hall Pycroft.<br>2. Home of Charles Augustus Milverton, the blackmailer, at Appledore Towers.<br>3. Hales Lodge: Home of Cecil Barker.<br><br>1. The Stockbroker&#39;s Clerk, p61.<br>2. The Adventure of Charles Augustus Milverton, p166.<br>3. The Valley of Fear, p38.",#icon-123,-0.17664,51.559144,0,,
Montague Street,"Holmes lived here for a time when first coming to London.<br><br>The Musgrave Ritual, p101.",#icon-123,-0.125377,51.519813,0,,
Fleet Street,"H&amp;W take a three hour stroll, including Fleet Street.<br><br>The Resident Patient, p163.",#icon-123,-0.110271,51.513924,0,,
Strand,"1. H&amp;W take a three hour stroll, including Fleet Street.<br>2. Watson catches a cab from here after sprinting down Lowther Arcade.<br>3. Sir Henry Baskerville buys new boots from here.<br>4. A Strand postmark is on the telegram from Mr Overton, which opens the story. Later, Godfrey Staunton is last seen running towards the Strand.<br><br>1.The Resident Patient, p163.<br>2. The Final Problem, p246.<br>3. The Hound of the Baskervilles, p54.<br>4. The Adventure of the Missing Three-Quarter, p252, 255.",#icon-123,-0.12233,51.510091,0,,
Brook Street,"403 - residence of Dr Percy Trevelyan.<br><br>The Resident patient, p164.",#icon-123,-0.145075,51.513203,0,,
King's College Hospital,"Where Dr Percy Trevelyan took a minor position to study catalepsy.<br><br>The resident patient, p165.",#icon-61,-0.115485,51.514899,0,,
Cavendish Square,"1. Area noted for its medical specialists by Dr Percy Trevelyan.<br>2. Holmes stops the cab on the corner, when heading back to Baker Street to ensnare Colonal Moran.<br><br>1. The Resident Patient, p165.<br>2. The Adventure of the Empty House, p19.",#icon-123,-0.14544,51.516247,0,,
Oxford Street,"1. H&amp;W cross this street on their way home from Dr Trevelyan&#39;s.<br>2. Part of route taken by Mr Melas and Mr Latimer.<br>3. Holmes goes here to transact some business, while Moriarty plots to kill him.<br>4. Holmes and Watson follow Mortimer and Baskerville along Oxford Street.<br>5. Cigarette stub is marked Bradley, Oxford Street.<br>6. H&amp;W catch a hansom from here to Church Row, Hampstead on their way to burgle Milverton. Later, they recognise a photo of Milverton&#39;s killer in the window of an Oxford Street boutique.<br>7. Watson relates purchasing his new boots from Latimer&#39;s on Oxford Street.<br><br>1. The Resident Patient, p173.<br>2. The Greek Interpreter, p187.<br>3. The Final Problem, p244.<br>4. The Hound of the Baskervilles, p57.<br>5.The Hound of the Baskervilles, p166.<br>6. The Adventure of Charles Augustus Milverton, p175.<br>7. The Disappearance of Lady Frances Carfax, p137.",#icon-123,-0.145226,51.514859,0,,
Wigmore Street Post Office,"Watson visits to send a telegram.<br><br>The Sign of Four, Chapter 1, page 16.",#icon-123,-0.148616,51.516541,0,,
Harley Street,"1. H&amp;W go down this street on their way home from Dr Trevelyan&#39;s.<br>2. Address of Dr Moore Agar, who recommends that Holmes slows down.<br>3. Holmes declares &#39;this is Baker Street, not Harley Street&#39;, when his client suggest his employer may be mad.<br><br>1. The Resident Patient, p173.<br>2. The Adventure of the Devil&#39;s Foot, p160.<br>3. The Adventure of Shoscombe Old Place, p218",#icon-123,-0.147479,51.519999,0,,
Regent CIrcus,"Alternative name for Oxford Circus. Passed through by H&amp;W on way to Diogenes Club.<br><br>The Greek Interpreter, p182.",#icon-61,-0.141943,51.515286,0,,
Diogenes Club,"Mycroft Holmes is a regular here, and first introduced to Watson here.<br><br>The Greek Interpreter, p183.",#icon-123,-0.135891,51.506138,0,,
Whitehall,"1. Mycroft Holmes walks here every morning from his residence in Pall Mall.<br>2. Percy Phelps runs out onto Whitehall in an attempt to catch the thief of the naval treaty.<br>3. Where the Mazarin stone was taken from.<br><br>1. The Greek Interpreter, p183.<br>2. The Naval Treaty, p209.<br>3. The Adventure of the Mazarin Stone, p74.",#icon-123,-0.126965,51.505924,0,,
Pall Mall,"1. Mycroft Holmes lodges in the street.<br>2. Holmes spends the day at his brother&#39;s after two attempts on his life.<br>3. Watson stops in at an estate agents to inquire about Charlington Hall.<br>4. Shipping office of the Adelaide-Southampton line situated at the end of Pall Mall.<br><br>1. The Greek Interpreter, p183.<br>2. The Final Problem, p244.<br>3. The Adventure of the Solitary Cyclist, p95.<br>4. The Adventure of the Abbey Grange, p292.",#icon-123,-0.134604,51.506525,0,,
Carlton Club,"1. Described as close to the Diogenes Club.<br>2. Sir James Damery&#39;s club.<br><br>1. The Greek Interpreter, p183.<br>2. The Adventure of the Illustrious Client, p11.",#icon-61,-0.135334,51.506338,0,,
Manor House,"Holmes tackled a case in this area, which Mycroft Holmes was surprised his brother didn&#39;t consult him about.<br><br>The Greek Interpreter, p184.",#icon-123,-0.093985,51.572242,0,,
Kensington,"1. Fake address of Mr Latimer, who lures Greek interpreter Mr Melas back to his home elsewhere.<br>2. Campden House Road - location of one of the smashed Napoleon busts.<br>3. Albemarle Mansion - home of Melville, a mutual friend of Eccles and Garcia.<br>4. 13 Caulfield Gardens. Fictitious address of Hugo Oberstein, the foreign agent. Some sources speculate that the true location is Cromwell Gardens.<br>5. 13 Lower Burke Street. Fictitious home of Mr Culverton Smith, mentioned as being on the Kensington-Notting Hill borders.<br><br>1. The Greek Interpreter, p187.<br>2. The Adventure of the Six Napoleons, p191.<br>3. The Adventure of Wisteria Lodge, p15.<br>4. The Adventure of the Bruce-Partington Plans, p108.<br>5. The Adventure of the Dying Detective, p126,128.",#icon-123,-0.195951,51.502171,0,,
Shaftesbury Avenue,"Part of route taken by Mr Melas and Mr Latimer.<br><br>The Greek Interpreter, p187.",#icon-123,-0.128574,51.513657,0,,
Wandsworth Common,"Mr Melas, the Greek interpreter, is left here after attending to Mr Latimer.<br><br>The Greek Interpreter, p192.",#icon-123,-0.169172,51.445288,0,,
